"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__Range","__Period","__Factor","__Forecast","__Peak & Trough","__Spread Percentage","__Show Trendline","__Trend Direction","__Show Price Close","__Show MA01","__Show MA02","__Show Trend","__Show RSI","__Show MACDV","__Show SignalV","__Show Condition","__Show Momentum","__MACD-V Fast","__MACD-V Slow","__MACD-V Signal","__ATR","__Show TF MN","__MA1","__MA2","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__1L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__9L","__OS","__OB","__10. MA:","__Type","__10L","__11. EMA Difference:","__EMA 1","__EMA 2","__13. Bias:","__13L","__P","__14. TimeFrame:","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak","__Win Streak","__Row Loss InDay","__DrawDown %","__InDay Loss %","__Daily Trades","__Weekly Trades","__Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance","__Active Filters","__5m","__15m","__30m","__45m","__1h","__2h","__3h","__4h","__1d","__Show Trade Stats⚠️🐌","comment"
-228.71,-22.87,-201.40,-20.14,-27.31,-2.73,738.70,73.87,356.29,35.63,382.41,38.24,967.41,96.74,557.69,55.77,409.72,40.97,157.19,15.52,257.46,25.28,149.35,14.94,-0.14,-0.17,0.76,0.64,0.93,3333.00,3165.00,3333.00,6.38,0.83,110.11,55.01,55.11,82.00,41.00,41.00,1.00,1.00,0,32.00,14.00,18.00,50.00,27.00,23.00,39.02,34.15,43.90,-2.79,-0.28,-4.91,-0.52,-0.67,-0.04,23.08,2.63,25.45,2.90,21.24,2.42,19.35,2.14,20.66,2.30,17.81,1.96,1.19,1.23,1.19,80.52,9.10,80.52,9.10,38.00,4.35,59.16,6.26,59.16,6.26,34.90,3.84,29.00,33.00,24.00,27.00,33.00,22.00,30.00,33.00,26.00,0,0,0,120.00,100.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-207.05,-20.71,-254.13,-25.41,47.08,4.71,790.54,79.05,323.94,32.39,466.60,46.66,997.60,99.76,578.08,57.81,419.52,41.95,173.15,18.12,248.94,24.44,149.35,14.94,-0.09,-0.14,0.79,0.56,1.11,3333.00,3205.00,3333.00,0,0,113.67,53.99,59.68,87.00,42.00,45.00,0,0,0,33.00,13.00,20.00,54.00,29.00,25.00,37.93,30.95,44.44,-2.38,-0.23,-6.05,-0.65,1.05,0.17,23.96,2.86,24.92,3.04,23.33,2.75,18.47,2.12,19.93,2.31,16.78,1.90,1.30,1.25,1.39,71.30,9.10,71.30,9.10,55.91,6.54,52.38,6.26,52.38,6.26,36.01,4.08,29.00,30.00,29.00,25.00,27.00,24.00,32.00,31.00,32.00,0,0,0,100.00,75.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-266.07,-26.61,-266.37,-26.64,0.31,0.03,751.54,75.15,310.04,31.00,441.50,44.15,1017.61,101.76,576.41,57.64,441.19,44.12,116.04,12.74,340.46,32.99,148.70,14.87,-0.15,-0.18,0.74,0.54,1.00,3457.00,3310.00,3457.00,0,0,106.53,47.11,59.43,81.00,36.00,45.00,0,0,0,34.00,12.00,22.00,47.00,24.00,23.00,41.98,33.33,48.89,-3.28,-0.34,-7.40,-0.77,0.01,0.01,22.10,2.67,25.84,3.19,20.07,2.39,21.65,2.52,24.02,2.75,19.18,2.27,1.02,1.08,1.05,66.24,9.10,66.24,9.10,34.51,4.80,50.81,6.26,50.81,6.26,39.58,4.43,30.00,38.00,23.00,28.00,37.00,23.00,31.00,38.00,23.00,0,0,0,250.00,45.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-86.10,-8.61,-63.45,-6.35,-22.65,-2.26,287.12,28.71,172.95,17.29,114.17,11.42,373.22,37.32,236.40,23.64,136.82,13.68,113.25,12.02,170.86,17.09,139.45,13.95,-0.07,-0.09,0.77,0.73,0.83,3290.00,3167.00,3290.00,0,0,41.58,23.89,17.69,31.00,18.00,13.00,0,0,0,12.00,7.00,5.00,19.00,11.00,8.00,38.71,38.89,38.46,-2.78,-0.26,-3.53,-0.32,-1.74,-0.16,23.93,2.77,24.71,2.90,22.83,2.58,19.64,2.17,21.49,2.37,17.10,1.88,1.22,1.15,1.34,36.28,4.14,34.21,4.12,36.28,4.14,45.79,4.77,45.79,4.77,33.28,3.84,22.00,27.00,15.00,19.00,25.00,11.00,24.00,29.00,18.00,0,0,0,120.00,75.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-102.48,-10.25,-163.41,-16.34,60.93,6.09,169.55,16.96,37.03,3.70,132.52,13.25,272.04,27.20,200.44,20.04,71.59,7.16,83.12,7.84,152.46,14.82,190.91,19.09,-0.13,-0.16,0.62,0.19,1.85,3367.00,3367.00,2842.00,0,0,29.17,17.48,11.69,20.00,12.00,8.00,0,0,0,7.00,2.00,5.00,13.00,10.00,3.00,35.00,16.67,62.50,-5.12,-0.51,-13.62,-1.39,7.62,0.81,24.22,2.49,18.51,1.88,26.50,2.74,20.93,2.13,20.04,2.04,23.86,2.41,1.16,0.92,1.11,40.35,4.08,25.96,2.63,40.35,4.08,36.98,3.84,34.62,3.38,36.98,3.84,26.00,23.00,30.00,27.00,33.00,25.00,25.00,21.00,38.00,0,0,0,80.00,35.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-103.78,-10.38,-144.26,-14.43,40.48,4.05,930.83,93.08,388.04,38.80,542.79,54.28,1034.61,103.46,532.30,53.23,502.31,50.23,161.55,15.11,162.42,15.64,149.03,14.90,-0.04,-0.05,0.90,0.73,1.08,3467.00,3302.00,3467.00,7.15,0.80,121.44,52.46,68.97,84.00,36.00,48.00,1.00,1.00,0,39.00,15.00,24.00,45.00,21.00,24.00,46.43,41.67,50.00,-1.24,-0.09,-4.01,-0.38,0.84,0.13,23.87,2.52,25.87,2.73,22.62,2.40,22.99,2.36,25.35,2.61,20.93,2.14,1.04,1.02,1.08,84.97,9.10,84.97,9.10,44.91,4.70,62.43,6.26,62.43,6.26,37.79,3.84,29.00,36.00,24.00,25.00,32.00,21.00,32.00,38.00,27.00,0,0,0,200.00,95.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-285.12,-28.51,-274.98,-27.50,-10.14,-1.01,677.74,67.77,300.06,30.01,377.68,37.77,962.86,96.29,575.04,57.50,387.82,38.78,130.37,13.84,313.14,30.74,150.32,15.03,-0.17,-0.21,0.70,0.52,0.97,3333.00,3165.00,3333.00,6.52,0.91,107.09,53.36,53.73,84.00,42.00,42.00,1.00,1.00,0,32.00,13.00,19.00,52.00,29.00,23.00,38.10,30.95,45.24,-3.39,-0.36,-6.55,-0.75,-0.24,-0.02,21.18,2.57,23.08,2.81,19.88,2.41,18.52,2.17,19.83,2.34,16.86,1.96,1.14,1.16,1.18,74.84,9.10,74.84,9.10,34.56,4.35,54.99,6.26,54.99,6.26,31.61,3.84,28.00,32.00,25.00,27.00,32.00,23.00,29.00,32.00,26.00,0,0,0,130.00,100.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-93.41,-9.34,-154.96,-15.50,61.54,6.15,171.26,17.13,37.40,3.74,133.86,13.39,264.68,26.47,192.36,19.24,72.32,7.23,83.96,7.84,154.00,14.82,192.93,19.29,-0.12,-0.15,0.65,0.19,1.85,3367.00,3367.00,2871.00,0,0,27.96,16.15,11.81,19.00,11.00,8.00,0,0,0,7.00,2.00,5.00,12.00,9.00,3.00,36.84,18.18,62.50,-4.92,-0.49,-14.09,-1.43,7.69,0.81,24.47,2.49,18.70,1.88,26.77,2.74,22.06,2.22,21.37,2.16,24.11,2.41,1.11,0.88,1.11,40.76,4.08,26.23,2.63,40.76,4.08,37.35,3.84,34.97,3.38,37.35,3.84,27.00,24.00,30.00,27.00,33.00,25.00,26.00,22.00,38.00,0,0,0,90.00,35.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-100.46,-10.05,-147.39,-14.74,46.93,4.69,281.82,28.18,106.87,10.69,174.95,17.50,382.28,38.23,254.26,25.43,128.02,12.80,143.60,15.37,217.21,21.72,141.06,14.11,-0.08,-0.11,0.74,0.42,1.37,3294.00,3196.00,3294.00,0,0,42.17,23.69,18.48,32.00,18.00,14.00,0,0,0,11.00,5.00,6.00,21.00,13.00,8.00,34.38,27.78,42.86,-3.14,-0.30,-8.19,-0.87,3.35,0.44,25.62,3.03,21.37,2.54,29.16,3.44,18.20,2.04,19.56,2.18,16.00,1.80,1.41,1.09,1.82,43.43,5.26,25.80,3.16,43.43,5.26,45.85,4.77,45.85,4.77,27.29,3.24,23.00,27.00,18.00,17.00,23.00,13.00,26.00,29.00,22.00,0,0,0,140.00,80.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-540.30,-54.03,-465.28,-46.53,-75.02,-7.50,586.55,58.65,185.72,18.57,400.83,40.08,1126.84,112.68,651.00,65.10,475.84,47.58,114.53,11.22,561.06,55.08,150.32,15.03,-0.36,-0.37,0.52,0.28,0.84,3333.00,3203.00,3333.00,0,0,105.57,47.69,57.88,89.00,42.00,47.00,0,0,0,30.00,10.00,20.00,59.00,32.00,27.00,33.71,23.81,42.55,-6.07,-0.83,-11.08,-1.48,-1.60,-0.25,19.55,2.49,18.57,2.49,20.04,2.49,19.10,2.52,20.34,2.72,17.62,2.29,1.02,0.91,1.14,37.02,5.01,35.22,5.01,37.02,4.92,51.56,6.26,51.56,6.26,37.50,4.82,26.00,26.00,27.00,28.00,31.00,26.00,26.00,24.00,27.00,0,0,0,50.00,60.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-102.75,-10.28,-68.92,-6.89,-33.83,-3.38,295.30,29.53,121.77,12.18,173.54,17.35,398.05,39.81,190.69,19.07,207.36,20.74,88.45,9.27,141.58,14.16,144.61,14.46,-0.10,-0.13,0.74,0.64,0.84,3345.00,3165.00,3345.00,0,0,41.17,17.65,23.52,30.00,13.00,17.00,0,0,0,12.00,5.00,7.00,18.00,8.00,10.00,40.00,38.46,41.18,-3.43,-0.32,-5.30,-0.51,-1.99,-0.18,24.61,2.76,24.35,2.78,24.79,2.76,22.11,2.38,23.84,2.57,20.74,2.24,1.11,1.02,1.20,38.43,4.41,38.43,4.41,36.05,4.14,48.00,4.93,48.00,4.93,36.02,3.84,24.00,34.00,17.00,21.00,26.00,17.00,27.00,39.00,16.00,0,0,0,170.00,65.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-154.93,-15.49,-245.97,-24.60,91.03,9.10,990.49,99.05,382.07,38.21,608.42,60.84,1145.42,114.54,628.04,62.80,517.38,51.74,222.69,21.93,228.22,22.40,153.90,15.39,-0.06,-0.09,0.87,0.61,1.18,3333.00,3172.00,3333.00,0,0,129.32,59.96,69.36,94.00,44.00,50.00,0,0,0,38.00,15.00,23.00,56.00,29.00,27.00,40.43,34.09,46.00,-1.65,-0.14,-5.59,-0.57,1.82,0.25,26.07,2.92,25.47,2.91,26.45,2.92,20.45,2.21,21.66,2.38,19.16,2.04,1.27,1.18,1.38,72.24,9.10,72.24,9.10,56.65,6.54,55.42,6.26,55.42,6.26,43.36,4.43,27.00,26.00,27.00,25.00,25.00,26.00,27.00,26.00,28.00,0,0,0,100.00,60.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-47.50,-4.75,-125.20,-12.52,77.70,7.77,111.34,11.13,0,0,111.34,11.13,158.83,15.88,125.20,12.52,33.63,3.36,97.33,8.88,156.35,14.60,187.44,18.74,-0.07,-0.10,0.70,0,3.31,3341.00,2993.00,3341.00,0,0,16.46,7.47,8.99,11.00,5.00,6.00,0,0,0,4.00,0,4.00,7.00,5.00,2.00,36.36,0,66.67,-4.32,-0.40,-25.04,-2.47,12.95,1.32,27.83,2.79,"N/A",,27.83,2.79,22.69,2.23,25.04,2.47,16.82,1.62,1.23,0,1.66,60.22,5.95,"N/A",,60.22,5.95,46.50,4.42,46.50,4.42,21.74,2.03,27.00,11.00,41.00,37.00,0,37.00,21.00,11.00,47.00,0,0,0,50.00,30.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-304.88,-30.49,-299.90,-29.99,-4.98,-0.50,731.14,73.11,332.26,33.23,398.87,39.89,1036.01,103.60,632.16,63.22,403.85,40.39,161.45,16.50,332.63,32.65,154.22,15.42,-0.17,-0.21,0.71,0.53,0.99,3333.00,3231.00,3333.00,8.72,1.25,113.70,60.09,53.61,89.00,47.00,42.00,1.00,1.00,0,34.00,15.00,19.00,55.00,32.00,23.00,38.20,31.91,45.24,-3.43,-0.37,-6.38,-0.75,-0.12,-0.05,21.50,2.59,22.15,2.62,20.99,2.56,18.84,2.20,19.75,2.32,17.56,2.03,1.14,1.12,1.20,77.79,9.10,77.79,9.10,35.92,4.70,57.15,6.26,57.15,6.26,32.44,3.84,29.00,34.00,24.00,26.00,32.00,21.00,31.00,34.00,26.00,0,0,0,160.00,100.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
