"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Length","__Type ➞","__RR Ratio","__SL Type","__Show SL","__Line Style","__Dashboard Size","__Performance Summary","__Monthly Performance"
-896.51,-35.86,110.93,4.44,-1007.43,-40.30,1312.64,52.51,1312.64,52.51,0,0,2209.15,88.37,1201.72,48.07,1007.43,40.30,1604.49,42.90,1649.98,59.84,4034.25,161.37,0.05,0.08,0.59,1.09,0,56.00,49.00,56.00,638.99,39.85,73.94,46.30,27.64,21.00,14.00,7.00,1.00,0,1.00,6.00,6.00,0,15.00,8.00,7.00,28.57,42.86,0,-42.69,-1.69,7.92,0.27,-143.92,-5.61,218.77,9.65,218.77,9.65,"N/A",,147.28,6.22,150.21,6.76,143.92,5.61,1.49,1.46,0,322.90,13.95,322.90,13.95,"N/A",,520.99,21.63,479.24,21.63,520.99,19.04,223.00,44.00,582.00,68.00,68.00,0,285.00,26.00,582.00,0,0,0,"All parameters are changed randomly",40.00,"Body",2.15,"Close",true,"Dashed","Small",true,true
793.22,31.73,438.16,17.53,355.05,14.20,2644.02,105.76,1735.46,69.42,908.56,36.34,1850.80,74.03,1297.29,51.89,553.51,22.14,2145.18,47.21,1610.58,47.87,3655.91,146.24,1.14,149.63,1.43,1.34,1.64,56.00,53.00,56.00,901.94,27.39,136.22,98.82,37.40,31.00,23.00,8.00,1.00,0,1.00,15.00,12.00,3.00,16.00,11.00,5.00,48.39,52.17,37.50,25.59,1.10,19.05,0.84,44.38,1.85,176.27,6.44,144.62,5.30,302.85,11.03,115.68,3.91,117.94,4.02,110.70,3.66,1.52,1.23,2.74,700.69,26.31,311.26,10.95,700.69,26.31,224.34,7.71,204.65,7.71,224.34,6.67,30.00,30.00,31.00,30.00,28.00,34.00,31.00,33.00,29.00,0,0,0,"All parameters are changed randomly",70.00,"Body",1.40,"Close",true,"Dashed","Small",true,true
896.66,35.87,2117.44,84.70,-1220.78,-48.83,3637.95,145.52,3637.95,145.52,0,0,2741.30,109.65,1520.51,60.82,1220.78,48.83,3654.95,61.17,2330.38,49.83,4034.25,161.37,0.49,1.86,1.33,2.39,0,56.00,50.00,56.00,1353.65,39.85,103.95,75.45,28.50,21.00,15.00,6.00,1.00,0,1.00,10.00,10.00,0,11.00,5.00,6.00,47.62,66.67,0,42.70,2.41,141.16,5.68,-203.46,-5.78,363.80,12.69,363.80,12.69,"N/A",,249.21,6.94,304.10,8.34,203.46,5.78,1.46,1.20,0,1372.96,53.76,1372.96,53.76,"N/A",,832.37,21.63,765.65,21.63,832.37,19.04,269.00,106.00,675.00,143.00,143.00,0,383.00,33.00,675.00,0,0,0,"All parameters are changed randomly",30.00,"Body",2.00,"Close",true,"Dashed","Small",true,true
1150.82,46.03,2608.10,104.32,-1457.29,-58.29,4005.03,160.20,4005.03,160.20,0,0,2854.21,114.17,1396.93,55.88,1457.29,58.29,3779.64,61.96,2282.68,47.51,4037.62,161.50,0.52,2.40,1.40,2.87,0,56.00,51.00,56.00,1453.81,39.82,100.79,64.84,35.95,20.00,13.00,7.00,1.00,0,1.00,9.00,9.00,0,11.00,4.00,7.00,45.00,69.23,0,57.54,3.10,200.62,7.81,-208.18,-5.63,445.00,15.51,445.00,15.51,"N/A",,259.47,7.05,349.23,9.52,208.18,5.63,1.72,1.27,0,1664.81,63.20,1664.81,63.20,"N/A",,849.75,21.63,781.61,21.63,849.75,19.04,290.00,134.00,580.00,177.00,177.00,0,382.00,36.00,580.00,0,0,0,"All parameters are changed randomly",30.00,"Body",2.35,"Close",true,"Dashed","Small",true,true
1359.66,54.39,895.62,35.82,464.04,18.56,2440.18,97.61,1460.39,58.42,979.79,39.19,1080.52,43.22,564.77,22.59,515.75,20.63,2912.93,54.69,1888.09,47.88,3835.03,153.40,1.60,196.92,2.26,2.59,1.90,54.00,47.00,54.00,1055.40,27.34,88.88,57.39,31.49,18.00,12.00,6.00,1.00,0,1.00,12.00,9.00,3.00,6.00,3.00,3.00,66.67,75.00,50.00,75.54,2.71,74.64,2.65,77.34,2.82,203.35,6.72,162.27,5.37,326.60,10.78,180.09,5.32,188.26,5.51,171.92,5.14,1.13,0.86,1.90,742.86,25.36,228.92,8.70,742.86,25.36,244.89,7.71,240.39,7.71,244.89,6.67,45.00,47.00,40.00,44.00,47.00,34.00,47.00,48.00,46.00,0,0,0,"All parameters are changed randomly",130.00,"Body",1.35,"Close",true,"Dashed","Small",true,true
562.84,22.51,971.90,38.88,-409.06,-16.36,1260.62,50.42,1260.62,50.42,0,0,697.77,27.91,288.71,11.55,409.06,16.36,1728.20,40.89,1689.13,50.87,3145.43,125.82,0.93,128.79,1.81,4.37,0,48.00,48.00,35.00,837.49,27.34,34.31,26.74,7.57,7.00,6.00,1.00,1.00,0,1.00,4.00,4.00,0,3.00,2.00,1.00,57.14,66.67,0,80.41,3.42,161.98,6.03,-409.06,-12.25,315.15,11.32,315.15,11.32,"N/A",,232.59,7.12,144.36,4.55,409.06,12.25,1.36,2.18,0,426.42,14.74,426.42,14.74,"N/A",,406.76,12.25,198.97,6.10,406.76,12.25,84.00,97.00,8.00,110.00,110.00,0,50.00,71.00,8.00,0,0,0,"All parameters are changed randomly",170.00,"Body",2.80,"Close",true,"Dashed","Small",true,true
-50.98,-2.04,1048.11,41.92,-1099.09,-43.96,3976.75,159.07,3684.67,147.39,292.08,11.68,4027.73,161.11,2636.56,105.46,1391.17,55.65,2062.08,50.33,2353.74,58.19,4037.06,161.48,0.38,0.79,0.99,1.40,0.21,56.00,46.00,56.00,975.38,39.83,215.94,140.19,75.75,48.00,31.00,17.00,1.00,0,1.00,13.00,11.00,2.00,35.00,20.00,15.00,27.08,35.48,11.76,-1.06,-0.47,33.81,2.02,-64.65,-2.35,305.90,12.27,334.97,13.70,146.04,4.43,115.08,3.91,131.83,4.40,92.74,3.26,2.66,2.54,1.58,1434.29,64.54,1434.29,64.54,171.12,5.07,574.21,21.63,574.21,21.63,261.16,6.95,71.00,77.00,58.00,139.00,153.00,64.00,45.00,36.00,57.00,0,0,0,"All parameters are changed randomly",20.00,"Body",2.40,"Close",true,"Dashed","Small",true,true
-154.05,-6.16,334.97,13.40,-489.02,-19.56,3563.98,142.56,2980.11,119.20,583.87,23.35,3718.03,148.72,2645.15,105.81,1072.89,42.92,1510.98,41.25,2091.29,56.35,4038.74,161.55,0.33,0.67,0.96,1.13,0.54,56.00,55.00,56.00,933.97,39.81,268.66,187.25,81.40,59.00,41.00,18.00,1.00,0,1.00,29.00,23.00,6.00,30.00,18.00,12.00,49.15,56.10,33.33,-2.61,-0.09,8.17,0.60,-27.17,-1.07,122.90,4.46,129.57,4.81,97.31,3.12,123.93,4.13,146.95,4.78,89.41,3.17,0.99,0.88,1.09,736.68,32.21,736.68,32.21,198.89,6.00,624.68,21.63,624.68,21.63,236.59,6.95,38.00,43.00,26.00,45.00,50.00,27.00,31.00,34.00,26.00,0,0,0,"All parameters are changed randomly",20.00,"Body",1.20,"Close",true,"Dashed","Small",true,true
292.54,11.70,655.09,26.20,-362.55,-14.50,920.29,36.81,920.29,36.81,0,0,627.75,25.11,265.20,10.61,362.55,14.50,1355.24,35.17,1488.83,50.03,3146.40,125.86,0.71,3.70,1.47,3.47,0,48.00,48.00,31.00,763.25,27.33,35.75,28.98,6.77,8.00,7.00,1.00,1.00,0,1.00,5.00,5.00,0,3.00,2.00,1.00,62.50,71.43,0,36.57,1.68,93.58,3.66,-362.55,-12.25,184.06,6.95,184.06,6.95,"N/A",,209.25,7.12,132.60,4.55,362.55,12.25,0.88,1.39,0,240.22,8.89,240.22,8.89,"N/A",,360.46,12.25,181.41,6.10,360.46,12.25,70.00,79.00,8.00,83.00,83.00,0,50.00,71.00,8.00,0,0,0,"All parameters are changed randomly",170.00,"Body",1.70,"Close",true,"Dashed","Small",true,true
220.48,8.82,649.60,25.98,-429.11,-17.16,910.12,36.40,910.12,36.40,0,0,689.64,27.59,260.52,10.42,429.11,17.16,1255.81,33.45,1493.47,50.76,3146.40,125.86,0.65,3.43,1.32,3.49,0,48.00,48.00,34.00,743.56,27.33,39.29,28.65,10.63,9.00,7.00,2.00,1.00,0,1.00,5.00,5.00,0,4.00,2.00,2.00,55.56,71.43,0,24.50,1.20,92.80,3.66,-214.56,-7.42,182.02,6.95,182.02,6.95,"N/A",,172.41,5.98,130.26,4.55,214.56,7.42,1.06,1.40,0,240.22,8.89,240.22,8.89,"N/A",,360.46,12.25,176.73,6.10,360.46,12.25,75.00,79.00,58.00,83.00,83.00,0,64.00,71.00,58.00,0,0,0,"All parameters are changed randomly",160.00,"Body",1.70,"Close",true,"Dashed","Small",true,true
