"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__Z score Length","__RSI","__CCI","__DMI","__AROON","__EMA","__Factor (SuperTrend)","__AtrPeriod (SuperTrend)","__𝛃1 (rsi)","__𝛃2 (cci)","__𝛃3 (dmi)","__𝛃4 (aroon)","__𝛃5 (ema)","__𝛃6 (SuperTrend)","__Step of learing","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__OS","__OB","__10. MA:","__Type","__11. EMA Difference:","__EMA 1","__EMA 2","__13. M.Bias:","__P","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","comment"
-118.75,-1.19,-118.02,-1.18,-0.72,-0.01,846.64,8.47,475.79,4.76,370.86,3.71,965.39,9.65,593.81,5.94,371.58,3.72,126.85,1.27,211.39,2.10,5881.28,58.81,-0.58,-0.54,0.88,0.80,1.00,0,0,0,-4.04,-0.04,300.51,176.75,123.76,201.00,118.00,83.00,1.00,1.00,0,81.00,44.00,37.00,120.00,74.00,46.00,40.30,37.29,44.58,-0.59,-0.06,-1.00,-0.10,-0.01,0,10.45,1.05,10.81,1.09,10.02,1.01,8.04,0.81,8.02,0.81,8.08,0.81,1.30,1.35,1.24,31.08,3.13,31.08,3.13,25.97,2.62,18.57,1.87,16.92,1.70,18.57,1.87,13.00,13.00,13.00,15.00,13.00,17.00,12.00,13.00,10.00,0,0,0,50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.50,3.00,1.90,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-100.04,-1.00,-53.44,-0.53,-46.59,-0.47,1022.31,10.22,568.50,5.69,453.81,4.54,1122.35,11.22,621.94,6.22,500.40,5.00,181.20,1.81,296.15,2.93,5923.42,59.23,-0.37,-0.38,0.91,0.91,0.91,0,0,0,0,0,265.27,150.49,114.78,178.00,101.00,77.00,0,0,0,70.00,39.00,31.00,108.00,62.00,46.00,39.33,38.61,40.26,-0.56,-0.06,-0.53,-0.05,-0.61,-0.06,14.60,1.47,14.58,1.47,14.64,1.47,10.39,1.04,10.03,1.01,10.88,1.09,1.41,1.45,1.35,39.65,4.00,39.65,4.00,33.26,3.35,24.28,2.44,20.45,2.05,24.28,2.44,20.00,19.00,21.00,19.00,16.00,22.00,21.00,21.00,20.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
1.50,0.02,70.10,0.70,-68.60,-0.69,997.34,9.97,594.58,5.95,402.76,4.03,995.84,9.96,524.48,5.24,471.36,4.71,129.57,1.28,173.17,1.71,5922.08,59.22,-0.27,-0.32,1.00,1.13,0.85,0,0,0,0,0,221.17,130.98,90.19,147.00,87.00,60.00,0,0,0,70.00,43.00,27.00,77.00,44.00,33.00,47.62,49.43,45.00,0.01,0,0.81,0.08,-1.14,-0.11,14.25,1.42,13.83,1.38,14.92,1.49,12.93,1.29,11.92,1.19,14.28,1.42,1.10,1.16,1.04,38.15,3.82,38.15,3.82,32.45,3.25,30.28,3.02,23.51,2.34,30.28,3.02,24.00,23.00,26.00,22.00,18.00,28.00,27.00,29.00,24.00,0,0,0,100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-423.26,-4.23,-170.08,-1.70,-253.18,-2.53,365.93,3.66,220.01,2.20,145.93,1.46,789.19,7.89,390.09,3.90,399.10,3.99,42.04,0.44,428.37,4.28,5928.92,59.29,-1.95,-0.89,0.46,0.56,0.37,0,0,0,0,0,339.00,186.28,152.71,231.00,127.00,104.00,0,0,0,98.00,58.00,40.00,133.00,69.00,64.00,42.42,45.67,38.46,-1.83,-0.19,-1.34,-0.14,-2.43,-0.25,3.73,0.38,3.79,0.39,3.65,0.37,5.93,0.61,5.65,0.58,6.24,0.64,0.63,0.67,0.59,16.72,1.74,16.72,1.74,12.63,1.31,14.70,1.49,9.88,1.03,14.70,1.49,4.00,5.00,4.00,4.00,4.00,3.00,5.00,5.00,4.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-312.49,-3.12,-79.52,-0.80,-232.96,-2.33,449.83,4.50,277.78,2.78,172.05,1.72,762.32,7.62,357.31,3.57,405.01,4.05,45.15,0.46,321.37,3.21,5934.43,59.34,-1.83,-0.88,0.59,0.78,0.43,0,0,0,0,0,348.11,190.32,157.79,236.00,129.00,107.00,0,0,0,107.00,66.00,41.00,129.00,63.00,66.00,45.34,51.16,38.32,-1.32,-0.13,-0.62,-0.06,-2.18,-0.22,4.20,0.43,4.21,0.43,4.20,0.43,5.91,0.60,5.67,0.58,6.14,0.62,0.71,0.74,0.68,16.83,1.74,16.83,1.74,16.23,1.67,14.72,1.49,9.97,1.03,14.72,1.49,5.00,5.00,4.00,5.00,5.00,4.00,5.00,6.00,5.00,0,0,0,100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.00,3.00,1.30,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-57.91,-0.58,-24.39,-0.24,-33.53,-0.34,1020.17,10.20,572.25,5.72,447.93,4.48,1078.09,10.78,596.63,5.97,481.45,4.81,169.25,1.69,256.83,2.54,5936.00,59.36,-0.32,-0.34,0.95,0.96,0.93,0,0,0,0,0,262.75,149.31,113.45,176.00,100.00,76.00,0,0,0,70.00,39.00,31.00,106.00,61.00,45.00,39.77,39.00,40.79,-0.33,-0.03,-0.24,-0.02,-0.44,-0.04,14.57,1.46,14.67,1.48,14.45,1.45,10.17,1.02,9.78,0.98,10.70,1.07,1.43,1.50,1.35,39.40,3.95,39.40,3.95,33.37,3.35,21.69,2.18,20.52,2.05,21.69,2.18,18.00,18.00,19.00,18.00,17.00,20.00,18.00,18.00,19.00,0,0,0,200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-353.97,-3.54,-205.18,-2.05,-148.79,-1.49,237.99,2.38,139.72,1.40,98.26,0.98,591.96,5.92,344.91,3.45,247.05,2.47,30.07,0.31,359.82,3.60,5889.35,58.89,-2.15,-0.91,0.40,0.41,0.40,0,0,0,-3.20,-0.03,408.64,239.17,169.47,277.00,162.00,115.00,1.00,1.00,0,111.00,66.00,45.00,166.00,96.00,70.00,40.07,40.74,39.13,-1.28,-0.13,-1.27,-0.13,-1.29,-0.13,2.14,0.22,2.12,0.22,2.18,0.22,3.57,0.36,3.59,0.37,3.53,0.36,0.60,0.59,0.62,16.81,1.74,16.81,1.74,16.19,1.67,10.40,1.07,9.43,0.97,10.40,1.07,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0,0,0,50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,0.50,3.00,1.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-355.93,-3.56,-138.47,-1.38,-217.47,-2.17,280.21,2.80,179.37,1.79,100.84,1.01,636.15,6.36,317.83,3.18,318.31,3.18,45.41,0.47,368.72,3.69,5936.23,59.36,-1.94,-0.89,0.44,0.56,0.32,0,0,0,0,0,388.60,219.34,169.26,264.00,149.00,115.00,0,0,0,108.00,66.00,42.00,156.00,83.00,73.00,40.91,44.30,36.52,-1.35,-0.14,-0.93,-0.09,-1.89,-0.19,2.59,0.27,2.72,0.28,2.40,0.25,4.08,0.42,3.83,0.39,4.36,0.44,0.64,0.71,0.55,16.75,1.74,16.75,1.74,16.16,1.67,14.71,1.49,8.91,0.90,14.71,1.49,3.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,0,0,0,100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,0.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-283.07,-2.83,-110.85,-1.11,-172.22,-1.72,537.47,5.37,334.16,3.34,203.31,2.03,820.54,8.21,445.01,4.45,375.53,3.76,53.06,0.54,307.78,3.07,5889.35,58.89,-1.45,-0.82,0.66,0.75,0.54,0,0,0,0,0,359.85,204.31,155.54,243.00,138.00,105.00,0,0,0,103.00,62.00,41.00,140.00,76.00,64.00,42.39,44.93,39.05,-1.16,-0.12,-0.80,-0.08,-1.64,-0.17,5.22,0.53,5.39,0.55,4.96,0.50,5.86,0.59,5.86,0.59,5.87,0.59,0.89,0.92,0.85,17.01,1.74,17.01,1.74,16.42,1.67,12.69,1.30,10.09,1.03,12.69,1.30,6.00,6.00,5.00,6.00,6.00,5.00,5.00,6.00,5.00,0,0,0,50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.00,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-306.91,-3.07,-123.57,-1.24,-183.34,-1.83,507.13,5.07,315.35,3.15,191.78,1.92,814.04,8.14,438.92,4.39,375.12,3.75,49.92,0.51,324.68,3.24,5883.63,58.84,-1.65,-0.86,0.62,0.72,0.51,0,0,0,0,0,360.97,204.09,156.88,244.00,138.00,106.00,0,0,0,105.00,63.00,42.00,139.00,75.00,64.00,43.03,45.65,39.62,-1.26,-0.13,-0.90,-0.09,-1.73,-0.18,4.83,0.49,5.01,0.51,4.57,0.46,5.86,0.59,5.85,0.59,5.86,0.59,0.83,0.86,0.78,16.98,1.74,16.98,1.74,16.39,1.67,12.66,1.30,10.07,1.03,12.66,1.30,5.00,6.00,5.00,5.00,5.00,5.00,5.00,6.00,5.00,0,0,0,50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-57.91,-0.58,-24.39,-0.24,-33.53,-0.34,1020.17,10.20,572.25,5.72,447.93,4.48,1078.09,10.78,596.63,5.97,481.45,4.81,169.25,1.69,256.83,2.54,5931.24,59.31,-0.32,-0.34,0.95,0.96,0.93,0,0,0,0,0,262.75,149.31,113.45,176.00,100.00,76.00,0,0,0,70.00,39.00,31.00,106.00,61.00,45.00,39.77,39.00,40.79,-0.33,-0.03,-0.24,-0.02,-0.44,-0.04,14.57,1.46,14.67,1.48,14.45,1.45,10.17,1.02,9.78,0.98,10.70,1.07,1.43,1.50,1.35,39.40,3.95,39.40,3.95,33.37,3.35,21.69,2.18,20.52,2.05,21.69,2.18,18.00,18.00,19.00,18.00,17.00,20.00,18.00,18.00,19.00,0,0,0,200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-94.73,-0.95,-138.43,-1.38,43.70,0.44,1032.24,10.32,517.21,5.17,515.03,5.15,1126.97,11.27,655.64,6.56,471.33,4.71,132.21,1.31,190.61,1.89,5930.17,59.30,-0.60,-0.55,0.92,0.79,1.09,0,0,0,0,0,217.73,126.19,91.55,145.00,84.00,61.00,0,0,0,58.00,31.00,27.00,87.00,53.00,34.00,40.00,36.90,44.26,-0.65,-0.06,-1.65,-0.16,0.72,0.07,17.80,1.78,16.68,1.67,19.08,1.91,12.95,1.29,12.37,1.23,13.86,1.38,1.37,1.35,1.38,46.69,4.67,46.69,4.67,39.58,3.98,30.02,3.02,25.24,2.53,30.02,3.02,30.00,29.00,32.00,29.00,21.00,39.00,31.00,33.00,28.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-32.04,-0.32,25.40,0.25,-57.43,-0.57,984.41,9.84,569.90,5.70,414.51,4.15,1016.45,10.16,544.50,5.45,471.94,4.72,144.60,1.45,236.71,2.35,5931.42,59.31,-0.37,-0.36,0.97,1.05,0.88,0,0,0,0,0,264.24,149.32,114.92,177.00,100.00,77.00,0,0,0,76.00,43.00,33.00,101.00,57.00,44.00,42.94,43.00,42.86,-0.18,-0.02,0.25,0.03,-0.75,-0.07,12.95,1.30,13.25,1.33,12.56,1.26,10.06,1.01,9.55,0.96,10.73,1.08,1.29,1.39,1.17,34.85,3.50,34.85,3.50,29.36,2.96,21.66,2.18,18.93,1.90,21.66,2.18,17.00,16.00,18.00,16.00,14.00,17.00,18.00,17.00,19.00,0,0,0,200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-304.43,-3.04,-80.12,-0.80,-224.32,-2.24,414.58,4.15,255.24,2.55,159.34,1.59,719.02,7.19,335.35,3.35,383.66,3.84,51.18,0.53,313.59,3.14,5928.23,59.28,-1.69,-0.86,0.58,0.76,0.42,0,0,0,0,0,354.49,194.99,159.50,240.00,132.00,108.00,0,0,0,119.00,73.00,46.00,121.00,59.00,62.00,49.58,55.30,42.59,-1.27,-0.13,-0.61,-0.06,-2.08,-0.21,3.48,0.35,3.50,0.36,3.46,0.35,5.94,0.60,5.68,0.58,6.19,0.63,0.59,0.62,0.56,16.84,1.74,16.84,1.74,16.24,1.67,14.75,1.49,9.98,1.03,14.75,1.49,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,0,0,0,100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.00,3.00,1.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-81.43,-0.81,-33.73,-0.34,-47.70,-0.48,986.33,9.86,552.61,5.53,433.71,4.34,1067.76,10.68,586.35,5.86,481.41,4.81,131.12,1.32,274.83,2.73,5928.18,59.28,-0.40,-0.39,0.92,0.94,0.90,0,0,0,0,0,267.82,151.76,116.06,180.00,102.00,78.00,0,0,0,76.00,42.00,34.00,104.00,60.00,44.00,42.22,41.18,43.59,-0.45,-0.04,-0.33,-0.03,-0.61,-0.06,12.98,1.31,13.16,1.33,12.76,1.29,10.27,1.03,9.77,0.98,10.94,1.10,1.26,1.35,1.17,35.01,3.54,35.01,3.54,29.20,2.96,24.22,2.44,18.85,1.90,24.22,2.44,18.00,18.00,19.00,16.00,14.00,19.00,20.00,20.00,19.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
