"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Enable signals","__Stop Loss Type: (L)","__(S)","__Take Profit Type: (L)","__Number of Orders: (L)","__[TP] Ride Free","__Position Leverage","__Maximum Accepted Loss %","__Equity % per trade","__Show TP/SL lines","__TP1: %","__Ratio","__TP2: %","__TP3: %","__TP4: %","__TP5: %","__Lenght_fast","__Lenght_slow","__SuperTrend Filter","__Show SuperTrend","__Range required?","__Number of divisions","__Start->Finish","__Portfolio table","__Table performance setting","__Enable Volume S/R"
-219.51,-21.95,-42.57,-4.26,-176.94,-17.69,1667.82,166.78,895.88,89.59,771.95,77.19,1887.33,188.73,938.45,93.84,948.89,94.89,242.59,23.13,346.81,31.83,4344.83,434.48,-0.15,-0.18,0.88,0.96,0.81,89.00,89.00,76.00,0,0,69.92,34.23,35.69,969.00,480.00,489.00,0,0,0,138.00,71.00,67.00,831.00,409.00,422.00,14.24,14.79,13.70,-0.23,-0.10,-0.09,-0.03,-0.36,-0.18,12.09,6.83,12.62,7.16,11.52,6.48,2.27,1.25,2.29,1.28,2.25,1.23,5.32,5.50,5.12,29.79,15.00,29.79,15.00,28.71,14.99,8.94,5.23,8.48,4.49,8.94,5.23,6.00,6.00,7.00,17.00,14.00,21.00,4.00,4.00,4.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,12.00,54.00,true,true,"No",10.00,0,"Normal","Disabled",true
721.65,72.17,427.94,42.79,293.71,29.37,6186.04,618.60,3178.10,317.81,3007.94,300.79,5464.39,546.44,2750.16,275.02,2714.23,271.42,1253.00,59.11,391.12,25.34,4158.23,415.82,0.23,0.36,1.13,1.16,1.11,148.00,148.00,118.00,0,0,201.26,104.62,96.64,1694.00,875.00,819.00,0,0,0,311.00,152.00,159.00,1383.00,723.00,660.00,18.36,17.37,19.41,0.43,0.19,0.49,0.16,0.36,0.22,19.89,6.89,20.91,7.00,18.92,6.80,3.95,1.32,3.80,1.28,4.11,1.36,5.03,5.50,4.60,161.02,15.04,161.02,15.00,52.74,15.04,100.24,8.66,11.64,5.82,100.24,8.66,7.00,6.00,8.00,13.00,11.00,16.00,5.00,5.00,6.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,10.00,17.00,true,true,"No",10.00,0,"Normal","Disabled",true
28.62,2.86,226.14,22.61,-197.52,-19.75,2350.05,235.01,1410.63,141.06,939.42,93.94,2321.43,232.14,1184.49,118.45,1136.94,113.69,387.66,29.25,372.73,28.56,4325.64,432.56,0.01,0.02,1.01,1.19,0.83,126.00,126.00,93.00,0,0,87.24,44.39,42.85,982.00,503.00,479.00,0,0,0,154.00,89.00,65.00,828.00,414.00,414.00,15.68,17.69,13.57,0.03,0.03,0.45,0.25,-0.41,-0.19,15.26,7.02,15.85,7.44,14.45,6.45,2.80,1.27,2.86,1.30,2.75,1.23,5.44,5.54,5.26,35.87,15.00,33.82,15.00,35.87,15.00,9.99,4.11,7.98,3.39,9.99,4.11,7.00,6.00,7.00,15.00,12.00,19.00,5.00,5.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,18.00,54.00,true,true,"No",10.00,0,"Normal","Disabled",true
920.31,92.03,637.84,63.78,282.48,28.25,10592.77,1059.28,5875.84,587.58,4716.93,471.69,9672.46,967.25,5238.00,523.80,4434.46,443.45,1615.10,63.50,757.64,31.67,4468.88,446.89,0.25,0.44,1.10,1.12,1.06,135.00,135.00,119.00,29.62,1.54,352.46,186.31,166.16,2965.00,1554.00,1411.00,1.00,0,1.00,543.00,292.00,251.00,2422.00,1262.00,1160.00,18.31,18.79,17.79,0.31,0.19,0.41,0.18,0.20,0.20,19.51,6.85,20.12,6.72,18.79,7.00,3.99,1.30,4.15,1.33,3.82,1.27,4.89,4.85,4.92,71.49,15.01,71.49,15.00,60.87,15.01,104.90,12.03,104.90,12.03,45.81,6.14,7.00,6.00,7.00,13.00,10.00,15.00,5.00,5.00,6.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,12.00,13.00,true,true,"No",10.00,0,"Normal","Disabled",true
616.48,61.65,560.57,56.06,55.91,5.59,3982.75,398.27,2262.11,226.21,1720.64,172.06,3366.27,336.63,1701.54,170.15,1664.73,166.47,1027.78,51.55,432.89,28.31,4326.54,432.65,0.21,0.39,1.18,1.33,1.03,159.00,159.00,117.00,0,0,126.92,64.84,62.08,1035.00,530.00,505.00,0,0,0,194.00,107.00,87.00,841.00,423.00,418.00,18.74,20.19,17.23,0.60,0.30,1.06,0.54,0.11,0.05,20.53,7.10,21.14,7.50,19.78,6.61,4.00,1.27,4.02,1.23,3.98,1.32,5.13,5.26,4.97,53.51,15.00,53.51,15.00,52.50,15.00,137.92,7.22,137.92,7.22,14.75,5.06,7.00,6.00,9.00,16.00,11.00,22.00,5.00,4.00,6.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,22.00,45.00,true,true,"No",10.00,0,"Normal","Disabled",true
1816.77,181.68,988.63,98.86,828.14,82.81,5510.77,551.08,2775.17,277.52,2735.60,273.56,3694.00,369.40,1786.54,178.65,1907.46,190.75,2226.99,70.55,569.85,19.10,4232.39,423.24,0.48,1.09,1.49,1.55,1.43,158.00,158.00,146.00,43.38,1.54,147.48,75.06,72.42,1040.00,534.00,506.00,1.00,0,1.00,219.00,105.00,114.00,821.00,429.00,392.00,21.06,19.66,22.53,1.75,0.55,1.85,0.45,1.64,0.65,25.16,7.37,26.43,7.31,24.00,7.43,4.50,1.27,4.16,1.23,4.87,1.32,5.59,6.35,4.93,77.08,15.00,77.08,15.00,63.58,15.00,20.35,4.26,11.88,3.57,20.35,4.26,7.00,7.00,8.00,14.00,12.00,16.00,6.00,5.00,6.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,8.00,41.00,true,true,"No",10.00,0,"Normal","Disabled",true
15.83,1.58,-333.93,-33.39,349.76,34.98,4301.94,430.19,1967.03,196.70,2334.91,233.49,4286.11,428.61,2300.97,230.10,1985.14,198.51,548.76,37.67,542.35,38.56,4106.36,410.64,0.03,0.04,1.00,0.86,1.18,98.00,98.00,77.00,0,0,156.94,84.79,72.15,1785.00,977.00,808.00,0,0,0,286.00,134.00,152.00,1499.00,843.00,656.00,16.02,13.72,18.81,0.01,0.03,-0.34,-0.13,0.43,0.23,15.04,6.98,14.68,6.94,15.36,7.01,2.86,1.29,2.73,1.25,3.03,1.35,5.26,5.38,5.08,37.01,15.00,36.54,14.99,37.01,15.00,16.23,6.99,12.38,4.76,16.23,6.99,7.00,5.00,8.00,14.00,10.00,18.00,5.00,4.00,6.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,20.00,17.00,true,true,"No",10.00,0,"Normal","Disabled",true
1758.60,175.86,504.11,50.41,1254.49,125.45,7613.90,761.39,3678.67,367.87,3935.24,393.52,5855.30,585.53,3174.55,317.46,2680.74,268.07,3027.77,83.74,917.01,41.87,4002.40,400.24,0.33,0.61,1.30,1.16,1.47,173.00,173.00,123.00,17.85,0.65,228.58,120.89,107.69,1810.00,923.00,887.00,1.00,0,1.00,341.00,151.00,190.00,1469.00,772.00,697.00,18.84,16.36,21.42,0.97,0.33,0.55,0.14,1.41,0.53,22.33,7.18,24.36,7.14,20.71,7.22,3.99,1.26,4.11,1.23,3.85,1.29,5.60,5.92,5.39,97.05,15.01,97.05,15.00,84.78,15.01,128.71,8.66,128.71,6.68,21.35,8.66,7.00,6.00,8.00,14.00,12.00,17.00,5.00,5.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,6.00,13.00,true,true,"No",10.00,0,"Normal","Disabled",true
3380.26,338.03,2193.00,219.30,1187.26,118.73,15262.20,1526.22,8071.73,807.17,7190.47,719.05,11881.94,1188.19,5878.73,587.87,6003.22,600.32,4075.25,82.37,983.81,43.03,4440.30,444.03,0.36,0.82,1.28,1.37,1.20,213.00,213.00,170.00,65.77,1.50,463.06,236.92,226.14,2675.00,1390.00,1285.00,1.00,0,1.00,515.00,260.00,255.00,2160.00,1130.00,1030.00,19.25,18.71,19.84,1.26,0.32,1.58,0.35,0.92,0.28,29.64,6.99,31.05,7.26,28.20,6.72,5.50,1.27,5.20,1.24,5.83,1.32,5.39,5.97,4.84,134.14,15.00,134.14,15.00,119.89,15.00,62.62,6.76,29.98,6.20,62.62,6.76,6.00,6.00,7.00,13.00,11.00,15.00,5.00,5.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,16.00,17.00,true,true,"No",10.00,0,"Normal","Disabled",true
-432.21,-43.22,-145.95,-14.59,-286.26,-28.63,4956.03,495.60,2519.63,251.96,2436.40,243.64,5388.24,538.82,2665.58,266.56,2722.67,272.27,495.53,39.51,664.49,55.38,4269.97,427.00,-0.08,-0.11,0.92,0.95,0.90,83.00,83.00,63.00,8.30,1.46,189.30,94.96,94.34,2824.00,1424.00,1400.00,1.00,0,1.00,438.00,222.00,216.00,2386.00,1202.00,1184.00,15.51,15.59,15.43,-0.15,-0.04,-0.10,-0.01,-0.20,-0.10,11.32,6.84,11.35,6.95,11.28,6.71,2.26,1.31,2.22,1.28,2.30,1.34,5.01,5.12,4.91,31.36,15.03,29.41,15.00,31.36,15.03,57.53,9.37,57.53,6.24,24.57,9.37,6.00,6.00,6.00,13.00,12.00,14.00,5.00,4.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,20.00,21.00,true,true,"No",10.00,0,"Normal","Disabled",true
