"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Strategy Direction","__Length","__OverSold","__OverBought","__HTF","__SuperTrend Multiplier","__SuperTrend Period","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__ATR Period","__Source Upper","__Source Lower","__ATR Multiplier Upper","__ATR Multiplier Lower","__Risk-to-Reward Ratio","__Dashboard Size","__Performance Summary","__Monthly Performance"
6190.16,61.90,4955.43,49.55,1234.73,12.35,11945.21,119.45,7145.98,71.46,4799.23,47.99,5755.06,57.55,2190.55,21.91,3564.51,35.65,6679.67,41.26,866.06,6.62,2647.68,26.48,0.65,2.23,2.08,3.26,1.35,993.00,991.00,993.00,0,0,659.17,333.76,325.41,70.00,35.00,35.00,0,0,0,29.00,14.00,15.00,41.00,21.00,20.00,41.43,40.00,42.86,88.43,1.44,141.58,2.29,35.28,0.59,411.90,6.67,510.43,8.23,319.95,5.22,140.37,2.26,104.31,1.67,178.23,2.89,2.93,4.89,1.80,1270.15,19.25,1270.15,19.25,562.54,7.62,342.20,6.07,219.52,2.80,342.20,6.07,35.00,32.00,38.00,44.00,37.00,52.00,29.00,29.00,28.00,0,0,0,"Changed ""ATR Multiplier Upper"": 5 => 3.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,2.00,2.70,"Small",true,true
14083.24,140.83,9525.97,95.26,4557.27,45.57,20318.10,203.18,12133.69,121.34,8184.41,81.84,6234.86,62.35,2607.72,26.08,3627.14,36.27,14086.98,58.49,842.49,5.22,2639.80,26.40,1.15,6.68,3.26,4.65,2.26,1192.00,1190.00,1192.00,0,0,829.02,422.86,406.16,70.00,35.00,35.00,0,0,0,38.00,19.00,19.00,32.00,16.00,16.00,54.29,54.29,54.29,201.19,2.60,272.17,3.34,130.21,1.87,534.69,6.95,638.62,8.01,430.76,5.90,194.84,2.56,162.98,2.21,226.70,2.92,2.74,3.92,1.90,1665.77,19.25,1665.77,19.25,984.73,18.98,639.13,7.91,329.21,4.16,639.13,7.91,43.00,43.00,44.00,44.00,42.00,45.00,43.00,44.00,42.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",5.00,3.00,1.80,"Small",true,true
5787.04,57.87,5148.45,51.48,638.59,6.39,10528.52,105.29,6345.79,63.46,4182.73,41.83,4741.48,47.41,1197.34,11.97,3544.14,35.44,5956.07,37.68,631.12,5.18,2639.80,26.40,0.84,3.02,2.22,5.30,1.18,966.00,952.00,966.00,0,0,642.75,324.58,318.17,70.00,35.00,35.00,0,0,0,41.00,27.00,14.00,29.00,8.00,21.00,58.57,77.14,40.00,82.67,1.35,147.10,2.41,18.25,0.30,256.79,4.22,235.03,3.84,298.77,4.94,163.50,2.70,149.67,2.44,168.77,2.80,1.57,1.57,1.77,1203.22,19.25,1203.22,19.25,506.54,7.36,306.34,5.56,286.86,3.76,306.34,5.56,27.00,18.00,36.00,28.00,18.00,47.00,26.00,20.00,28.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",2.75,4.00,1.30,"Small",true,true
3773.94,37.74,3311.01,33.11,462.93,4.63,7483.62,74.84,4678.38,46.78,2805.24,28.05,3709.68,37.10,1367.37,13.67,2342.31,23.42,4201.29,30.33,651.41,6.27,2639.80,26.40,0.57,1.95,2.02,3.42,1.20,840.00,828.00,840.00,0,0,585.26,294.55,290.71,70.00,35.00,35.00,0,0,0,42.00,22.00,20.00,28.00,13.00,15.00,60.00,62.86,57.14,53.91,0.95,94.60,1.71,13.23,0.18,178.18,3.19,212.65,3.82,140.26,2.49,132.49,2.41,105.18,1.85,156.15,2.90,1.35,2.02,0.90,1133.32,19.25,1133.32,19.25,235.87,4.14,281.82,5.56,187.95,2.80,281.82,5.56,15.00,14.00,16.00,16.00,16.00,17.00,13.00,11.00,15.00,0,0,0,"Changed ""ATR Multiplier Lower"": 4 => 2.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",2.75,2.00,1.30,"Small",true,true
6656.23,66.56,4634.59,46.35,2021.64,20.22,13627.78,136.28,7676.04,76.76,5951.74,59.52,6971.55,69.72,3041.45,30.41,3930.10,39.30,8481.99,46.93,1083.03,6.78,2639.80,26.40,0.65,2.95,1.96,2.52,1.51,1023.00,1021.00,1023.00,533.50,3.20,686.48,350.30,336.18,69.00,35.00,34.00,1.00,0,1.00,24.00,13.00,11.00,45.00,22.00,23.00,34.78,37.14,32.35,96.47,1.59,132.42,2.00,59.46,1.16,567.82,9.02,590.46,9.10,541.07,8.93,154.92,2.38,138.25,2.19,170.87,2.56,3.67,4.27,3.17,1264.20,19.25,1264.20,19.25,1001.57,18.98,453.79,7.91,432.43,6.57,453.79,7.91,62.00,53.00,71.00,74.00,58.00,92.00,56.00,50.00,62.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",5.00,5.00,2.20,"Small",true,true
11768.26,117.68,7126.12,71.26,4642.15,46.42,16934.09,169.34,9640.00,96.40,7294.08,72.94,5165.82,51.66,2513.89,25.14,2651.94,26.52,11772.00,54.08,936.94,5.22,2631.92,26.32,0.84,4.82,3.28,3.84,2.75,1141.00,1139.00,1141.00,0,0,797.62,406.81,390.80,70.00,35.00,35.00,0,0,0,39.00,15.00,24.00,31.00,20.00,11.00,55.71,42.86,68.57,168.12,2.30,203.60,2.58,132.63,2.01,434.21,5.85,642.67,8.26,303.92,4.34,166.64,2.17,125.69,1.68,241.09,3.06,2.61,5.11,1.26,1650.90,19.25,1650.90,19.25,971.94,18.98,577.33,7.91,281.69,2.80,577.33,7.91,34.00,37.00,31.00,37.00,50.00,28.00,31.00,27.00,38.00,0,0,0,"Changed ""ATR Multiplier Lower"": 3 => 2.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",5.00,2.00,1.80,"Small",true,true
4751.41,47.51,4025.58,40.26,725.84,7.26,9327.27,93.27,5736.28,57.36,3590.99,35.91,4575.86,45.76,1710.70,17.11,2865.15,28.65,5396.35,36.42,700.07,6.62,2631.92,26.32,0.58,1.90,2.04,3.35,1.25,874.00,862.00,874.00,0,0,605.13,305.35,299.77,70.00,35.00,35.00,0,0,0,36.00,18.00,18.00,34.00,17.00,17.00,51.43,51.43,51.43,67.88,1.15,115.02,1.98,20.74,0.33,259.09,4.49,318.68,5.51,199.50,3.47,134.58,2.38,100.63,1.76,168.54,2.99,1.93,3.17,1.18,1198.76,19.25,1198.76,19.25,348.23,5.03,317.80,6.07,201.07,2.80,317.80,6.07,23.00,22.00,25.00,25.00,25.00,25.00,22.00,19.00,25.00,0,0,0,"Changed ""ATR Multiplier Upper"": 5 => 3.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,2.00,1.80,"Small",true,true
7024.16,70.24,4856.73,48.57,2167.42,21.67,13170.08,131.70,7100.53,71.01,6069.56,60.70,6145.93,61.46,2243.79,22.44,3902.13,39.02,8272.92,46.80,848.35,7.79,2639.80,26.40,0.74,2.31,2.14,3.17,1.56,1003.00,988.00,1003.00,545.60,3.20,645.48,325.78,319.71,68.00,34.00,34.00,1.00,0,1.00,32.00,20.00,12.00,36.00,14.00,22.00,47.06,58.82,35.29,103.30,1.65,142.85,2.14,63.75,1.15,411.57,6.61,355.03,5.50,505.80,8.47,170.72,2.77,160.27,2.65,177.37,2.84,2.41,2.22,2.85,1262.71,19.25,1262.71,19.25,997.23,14.41,391.06,6.07,391.06,5.49,389.90,6.07,43.00,34.00,52.00,53.00,33.00,88.00,35.00,37.00,33.00,0,0,0,"Changed ""ATR Multiplier Lower"": 2 => 5.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,5.00,1.80,"Small",true,true
9128.71,91.29,6718.04,67.18,2410.66,24.11,16308.78,163.09,10046.63,100.47,6262.15,62.62,7180.08,71.80,3328.59,33.29,3851.48,38.51,11448.67,54.41,1865.92,9.29,2639.80,26.40,0.63,3.33,2.27,3.02,1.63,1018.00,1016.00,1018.00,612.70,3.20,728.43,373.75,354.69,69.00,35.00,34.00,1.00,0,1.00,28.00,15.00,13.00,41.00,20.00,21.00,40.58,42.86,38.24,132.30,2.00,191.94,2.68,70.90,1.30,582.46,8.61,669.78,9.55,481.70,7.54,175.12,2.51,166.43,2.46,183.40,2.56,3.33,4.02,2.63,1448.63,20.62,1448.63,20.62,1174.99,18.98,509.27,7.91,460.24,6.10,509.27,7.91,72.00,87.00,56.00,103.00,129.00,73.00,51.00,56.00,46.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1.8 => 3.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",5.00,3.00,3.00,"Small",true,true
1585.47,15.85,1249.13,12.49,336.34,3.36,4268.67,42.69,2412.51,24.13,1856.16,18.56,2683.20,26.83,1163.38,11.63,1519.82,15.20,2218.97,18.82,478.54,4.79,2639.80,26.40,0.35,0.91,1.59,2.07,1.22,825.00,813.00,825.00,0,0,549.31,275.70,273.61,70.00,35.00,35.00,0,0,0,37.00,15.00,22.00,33.00,20.00,13.00,52.86,42.86,62.86,22.65,0.43,35.69,0.71,9.61,0.15,115.37,2.22,160.83,3.13,84.37,1.60,81.31,1.57,58.17,1.10,116.91,2.29,1.42,2.77,0.72,245.84,5.09,245.84,5.09,134.91,2.44,202.23,4.03,89.41,1.68,202.23,4.03,10.00,8.00,12.00,12.00,13.00,12.00,7.00,4.00,11.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",2.00,1.00,1.80,"Small",true,true
