"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Strategy Direction","__Length","__OverSold","__OverBought","__HTF","__SuperTrend Multiplier","__SuperTrend Period","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__ATR Period","__Source Upper","__Source Lower","__ATR Multiplier Upper","__ATR Multiplier Lower","__Risk-to-Reward Ratio","__Dashboard Size","__Performance Summary","__Monthly Performance"
990.17,9.90,779.52,7.80,210.65,2.11,3728.96,37.29,1941.07,19.41,1787.89,17.88,2738.79,27.39,1161.55,11.62,1577.24,15.77,1599.77,14.17,361.21,3.61,2702.84,27.03,0.20,0.41,1.36,1.67,1.13,837.00,825.00,837.00,0,0,548.95,275.55,273.40,70.00,35.00,35.00,0,0,0,30.00,15.00,15.00,40.00,20.00,20.00,42.86,42.86,42.86,14.15,0.28,22.27,0.44,6.02,0.12,124.30,2.40,129.40,2.51,119.19,2.29,68.47,1.31,58.08,1.10,78.86,1.52,1.82,2.23,1.51,252.11,5.09,252.11,5.09,203.32,4.14,134.07,2.60,88.41,1.68,134.07,2.60,8.00,7.00,10.00,11.00,10.00,11.00,6.00,4.00,8.00,0,0,0,"Changed ""ATR Multiplier Lower"": 2 => 1.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.25,1.00,2.30,"Small",true,true
3562.29,35.62,3621.00,36.21,-58.71,-0.59,7245.41,72.45,4882.26,48.82,2363.15,23.63,3683.11,36.83,1261.26,12.61,2421.86,24.22,4226.32,29.96,525.97,4.04,2702.84,27.03,0.47,1.33,1.97,3.87,0.98,887.00,874.00,887.00,0,0,596.93,300.15,296.78,70.00,35.00,35.00,0,0,0,32.00,26.00,6.00,38.00,9.00,29.00,45.71,74.29,17.14,50.89,0.91,103.46,1.83,-1.68,-0.02,226.42,4.02,187.78,3.32,393.86,7.05,96.92,1.71,140.14,2.46,83.51,1.48,2.34,1.34,4.72,1069.37,19.25,1069.37,19.25,602.72,9.82,202.33,3.31,202.33,3.31,139.42,2.60,21.00,14.00,27.00,20.00,13.00,48.00,21.00,17.00,23.00,0,0,0,"Changed ""ATR Multiplier Lower"": 1 => 3.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.25,3.00,2.30,"Small",true,true
3443.15,34.43,3245.44,32.45,197.71,1.98,7303.69,73.04,4538.77,45.39,2764.92,27.65,3860.54,38.61,1293.33,12.93,2567.21,25.67,4208.67,29.88,559.46,4.22,2702.84,27.03,0.43,1.12,1.89,3.51,1.08,938.00,924.00,938.00,0,0,612.43,308.54,303.89,70.00,35.00,35.00,0,0,0,35.00,26.00,9.00,35.00,9.00,26.00,50.00,74.29,25.71,49.19,0.88,92.73,1.60,5.65,0.15,208.68,3.65,174.57,3.01,307.21,5.50,110.30,1.89,143.70,2.46,98.74,1.70,1.89,1.22,3.11,1119.93,19.25,1119.93,19.25,487.69,7.62,208.75,3.31,208.75,3.31,168.92,3.11,20.00,14.00,26.00,20.00,13.00,41.00,19.00,17.00,20.00,0,0,0,"Changed ""ATR Multiplier Upper"": 4.75 => 1.5.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.50,3.00,1.80,"Small",true,true
2940.14,29.40,2120.80,21.21,819.33,8.19,6955.67,69.56,3759.76,37.60,3195.91,31.96,4015.53,40.16,1638.96,16.39,2376.57,23.77,3567.09,27.26,739.76,6.71,2702.84,27.03,0.64,2.22,1.73,2.29,1.35,892.00,892.00,891.00,0,0,592.63,298.57,294.07,70.00,35.00,35.00,0,0,0,29.00,9.00,20.00,41.00,26.00,15.00,41.43,25.71,57.14,42.00,0.77,60.59,1.17,23.41,0.37,239.85,4.34,417.75,7.72,159.80,2.82,97.94,1.76,63.04,1.10,158.44,2.90,2.45,6.63,1.01,561.08,10.41,561.08,10.41,259.37,4.21,299.80,5.56,95.68,1.68,299.80,5.56,20.00,22.00,18.00,30.00,51.00,20.00,13.00,12.00,15.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",2.75,1.00,3.00,"Small",true,true
1233.61,12.34,993.48,9.93,240.13,2.40,4317.12,43.17,2367.17,23.67,1949.95,19.50,3083.50,30.84,1373.69,13.74,1709.81,17.10,2019.97,17.60,681.60,6.71,2702.84,27.03,0.27,0.48,1.40,1.72,1.14,795.00,795.00,794.00,0,0,537.19,269.34,267.85,70.00,35.00,35.00,0,0,0,35.00,11.00,24.00,35.00,24.00,11.00,50.00,31.43,68.57,17.62,0.35,28.39,0.59,6.86,0.11,123.35,2.43,215.20,4.30,81.25,1.57,88.10,1.73,57.24,1.11,155.44,3.09,1.40,3.76,0.52,304.95,6.27,304.95,6.27,133.75,2.44,276.36,5.56,86.55,1.68,276.36,5.56,12.00,11.00,13.00,14.00,16.00,13.00,10.00,9.00,13.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 3 => 1.8.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",2.75,1.00,1.80,"Small",true,true
3797.90,37.98,3468.65,34.69,329.25,3.29,7671.22,76.71,4901.97,49.02,2769.25,27.69,3873.32,38.73,1433.32,14.33,2440.00,24.40,4407.75,30.85,606.69,4.44,2702.84,27.03,0.47,1.49,1.98,3.42,1.14,933.00,919.00,933.00,0,0,615.11,310.09,305.02,70.00,35.00,35.00,0,0,0,32.00,22.00,10.00,38.00,13.00,25.00,45.71,62.86,28.57,54.26,0.95,99.10,1.73,9.41,0.18,239.73,4.15,222.82,3.84,276.93,4.83,101.93,1.74,110.26,1.85,97.60,1.68,2.35,2.02,2.84,1139.27,19.25,1139.27,19.25,443.75,6.79,188.44,3.11,188.44,2.80,167.70,3.11,18.00,14.00,21.00,20.00,16.00,31.00,15.00,11.00,18.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.50,2.00,2.40,"Small",true,true
12869.21,128.69,7576.37,75.76,5292.84,52.93,18049.46,180.49,10225.12,102.25,7824.34,78.24,5180.25,51.80,2648.75,26.49,2531.51,25.32,12872.94,56.29,965.05,4.49,2702.84,27.03,0.93,5.51,3.48,3.86,3.09,1210.00,1208.00,1210.00,0,0,837.52,428.05,409.47,70.00,35.00,35.00,0,0,0,40.00,15.00,25.00,30.00,20.00,10.00,57.14,42.86,71.43,183.85,2.44,216.47,2.67,151.22,2.21,451.24,5.87,681.67,8.47,312.97,4.31,172.68,2.13,132.44,1.68,253.15,3.04,2.61,5.15,1.24,1741.62,19.25,1741.62,19.25,971.94,18.98,575.25,7.91,296.26,2.80,575.25,7.91,33.00,35.00,31.00,35.00,46.00,28.00,31.00,27.00,39.00,0,0,0,"Changed ""ATR Multiplier Lower"": 3 => 2.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,2.00,1.80,"Small",true,true
7983.04,79.83,4545.48,45.45,3437.56,34.38,14467.15,144.67,7683.74,76.84,6783.41,67.83,6484.11,64.84,3138.26,31.38,3345.85,33.46,8519.81,46.01,1676.22,9.24,2702.84,27.03,0.64,4.52,2.23,2.45,2.03,1003.00,1001.00,1003.00,0,0,720.36,365.51,354.85,70.00,35.00,35.00,0,0,0,29.00,11.00,18.00,41.00,24.00,17.00,41.43,31.43,51.43,114.04,1.77,129.87,1.94,98.22,1.60,498.87,7.46,698.52,10.25,376.86,5.76,158.15,2.26,130.76,1.88,196.81,2.81,3.15,5.34,1.92,1377.24,19.25,1377.24,19.25,986.55,18.98,475.46,7.91,342.53,3.86,475.46,7.91,50.00,57.00,43.00,64.00,96.00,45.00,40.00,39.00,41.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1.8 => 2.6.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,2.00,2.60,"Small",true,true
12869.21,128.69,7576.37,75.76,5292.84,52.93,18049.46,180.49,10225.12,102.25,7824.34,78.24,5180.25,51.80,2648.75,26.49,2531.51,25.32,12872.94,56.29,965.05,4.49,2702.84,27.03,0.93,5.51,3.48,3.86,3.09,1210.00,1208.00,1210.00,0,0,837.52,428.05,409.47,70.00,35.00,35.00,0,0,0,40.00,15.00,25.00,30.00,20.00,10.00,57.14,42.86,71.43,183.85,2.44,216.47,2.67,151.22,2.21,451.24,5.87,681.67,8.47,312.97,4.31,172.68,2.13,132.44,1.68,253.15,3.04,2.61,5.15,1.24,1741.62,19.25,1741.62,19.25,971.94,18.98,575.25,7.91,296.26,2.80,575.25,7.91,33.00,35.00,31.00,35.00,46.00,28.00,31.00,27.00,39.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2.6 => 1.8.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,2.00,1.80,"Small",true,true
12189.72,121.90,7000.26,70.00,5189.45,51.89,18500.13,185.00,9959.53,99.60,8540.60,85.41,6310.41,63.10,2959.26,29.59,3351.15,33.51,12597.29,56.77,742.75,5.99,2702.84,27.03,0.96,4.10,2.93,3.37,2.55,1045.00,1043.00,1045.00,0,0,744.89,379.80,365.10,70.00,35.00,35.00,0,0,0,35.00,18.00,17.00,35.00,17.00,18.00,50.00,51.43,48.57,174.14,2.37,200.01,2.65,148.27,2.10,528.58,7.42,553.31,7.65,502.39,7.18,180.30,2.67,174.07,2.64,186.18,2.70,2.93,3.18,2.70,1473.91,19.25,1473.91,19.25,922.61,18.98,555.95,7.91,399.10,6.10,555.95,7.91,46.00,41.00,52.00,43.00,34.00,52.00,50.00,48.00,53.00,0,0,0,"Changed ""ATR Multiplier Lower"": 3 => 4.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,4.00,1.80,"Small",true,true
9558.82,95.59,5613.59,56.14,3945.24,39.45,15027.18,150.27,8214.58,82.15,6812.59,68.13,5468.35,54.68,2600.99,26.01,2867.36,28.67,9664.69,49.16,742.93,6.00,2702.84,27.03,1.04,5.57,2.75,3.16,2.38,1070.00,1054.00,1070.00,0,0,732.18,372.44,359.73,70.00,35.00,35.00,0,0,0,44.00,22.00,22.00,26.00,13.00,13.00,62.86,62.86,62.86,136.55,1.98,160.39,2.19,112.72,1.78,341.53,4.99,373.39,5.26,309.66,4.71,210.32,3.10,200.08,3.02,220.57,3.18,1.62,1.87,1.40,1432.27,19.25,1432.27,19.25,970.11,18.98,483.21,7.91,356.44,4.97,483.21,7.91,34.00,25.00,44.00,30.00,20.00,40.00,42.00,34.00,49.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1.8 => 1.1.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,4.00,1.10,"Small",true,true
9314.43,93.14,5534.48,55.34,3779.95,37.80,15737.70,157.38,8385.06,83.85,7352.63,73.53,6423.27,64.23,2850.58,28.51,3572.68,35.73,11099.97,53.65,1336.94,6.59,2702.84,27.03,0.91,4.12,2.45,2.94,2.06,1106.00,1103.00,1106.00,574.26,2.97,717.50,370.23,347.27,67.00,34.00,33.00,1.00,0,1.00,23.00,12.00,11.00,44.00,22.00,22.00,34.33,35.29,33.33,139.02,2.08,162.78,2.30,114.54,1.85,684.25,10.00,698.76,9.73,668.42,10.30,145.98,2.06,129.57,1.75,162.39,2.37,4.69,5.39,4.12,1476.88,19.25,1476.88,19.25,1420.62,18.98,512.52,6.33,512.52,5.49,377.21,6.33,57.00,43.00,72.00,87.00,42.00,136.00,42.00,43.00,41.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.50,5.00,2.70,"Small",true,true
11216.70,112.17,5844.18,58.44,5372.52,53.73,16600.23,166.00,7924.32,79.24,8675.91,86.76,5383.53,53.84,2080.14,20.80,3303.39,33.03,11628.40,54.81,650.58,5.56,2702.84,27.03,1.15,7.77,3.08,3.81,2.63,1045.00,1030.00,1045.00,0,0,701.00,348.38,352.62,68.00,33.00,35.00,0,0,0,37.00,21.00,16.00,31.00,12.00,19.00,54.41,63.64,45.71,164.95,2.30,177.10,2.44,153.50,2.16,448.65,6.42,377.35,5.32,542.24,7.87,173.66,2.63,173.34,2.59,173.86,2.66,2.58,2.18,3.12,1395.08,19.25,1395.08,19.25,946.36,18.98,470.08,6.33,470.08,5.77,376.54,6.33,39.00,32.00,46.00,43.00,32.00,58.00,35.00,32.00,37.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2.7 => 1.5.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.50,5.00,1.50,"Small",true,true
4915.70,49.16,4293.22,42.93,622.48,6.22,9015.35,90.15,5611.57,56.12,3403.78,34.04,4099.66,41.00,1318.36,13.18,2781.30,27.81,5204.70,34.53,600.88,4.61,2702.84,27.03,0.62,1.75,2.20,4.26,1.22,947.00,934.00,947.00,0,0,625.89,315.70,310.19,70.00,35.00,35.00,0,0,0,37.00,26.00,11.00,33.00,9.00,24.00,52.86,74.29,31.43,70.22,1.18,122.66,2.04,17.79,0.32,243.66,4.11,215.83,3.60,309.43,5.30,124.23,2.10,146.48,2.46,115.89,1.96,1.96,1.47,2.67,1161.58,19.25,1161.58,19.25,505.80,7.62,216.25,3.62,216.25,3.31,197.71,3.62,22.00,16.00,29.00,22.00,15.00,40.00,23.00,17.00,25.00,0,0,0,"Changed ""ATR Multiplier Upper"": 4.75 => 1.75.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.75,3.00,1.80,"Small",true,true
6429.89,64.30,3756.82,37.57,2673.07,26.73,10129.54,101.30,5856.02,58.56,4273.51,42.74,3699.65,37.00,2099.21,20.99,1600.44,16.00,6653.92,40.00,692.39,4.22,2702.84,27.03,0.74,5.61,2.74,2.79,2.67,984.00,970.00,984.00,0,0,684.09,346.67,337.42,70.00,35.00,35.00,0,0,0,46.00,18.00,28.00,24.00,17.00,7.00,65.71,51.43,80.00,91.86,1.47,107.34,1.62,76.37,1.31,220.21,3.45,325.33,4.92,152.63,2.50,154.15,2.33,123.48,1.87,228.63,3.44,1.43,2.64,0.67,1374.26,19.25,1374.26,19.25,955.49,18.98,450.78,7.91,226.81,2.80,450.78,7.91,20.00,20.00,20.00,20.00,21.00,19.00,20.00,19.00,21.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,2.00,1.00,"Small",true,true
6237.50,62.37,4937.73,49.38,1299.77,13.00,11204.82,112.05,6710.98,67.11,4493.84,44.94,4967.32,49.67,1773.25,17.73,3194.07,31.94,6778.63,41.75,661.36,6.26,2702.84,27.03,0.72,2.13,2.26,3.79,1.41,916.00,902.00,916.00,0,0,623.00,314.92,308.08,70.00,35.00,35.00,0,0,0,37.00,22.00,15.00,33.00,13.00,20.00,52.86,62.86,42.86,89.11,1.44,141.08,2.30,37.14,0.58,302.83,5.06,305.04,5.06,299.59,5.05,150.52,2.62,136.40,2.38,159.70,2.78,2.01,2.24,1.88,1185.37,19.25,1185.37,19.25,522.70,7.62,293.81,5.56,221.95,3.38,293.81,5.56,30.00,24.00,36.00,33.00,23.00,48.00,26.00,27.00,26.00,0,0,0,"Changed ""ATR Multiplier Upper"": 4.75 => 2.75.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",2.75,3.00,1.80,"Small",true,true
9877.47,98.77,5966.24,59.66,3911.23,39.11,15452.37,154.52,8585.16,85.85,6867.21,68.67,5574.90,55.75,2618.92,26.19,2955.98,29.56,9985.21,49.97,745.34,5.99,2702.84,27.03,1.06,5.72,2.77,3.28,2.32,1078.00,1063.00,1078.00,0,0,739.25,376.11,363.14,70.00,35.00,35.00,0,0,0,44.00,22.00,22.00,26.00,13.00,13.00,62.86,62.86,62.86,141.11,2.03,170.46,2.30,111.75,1.76,351.19,5.08,390.23,5.45,312.15,4.71,214.42,3.13,201.46,3.02,227.38,3.24,1.64,1.94,1.37,1454.57,19.25,1454.57,19.25,970.11,18.98,517.88,7.91,362.35,4.97,517.88,7.91,35.00,27.00,44.00,31.00,22.00,40.00,42.00,34.00,50.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",5.00,4.00,1.10,"Small",true,true
12189.72,121.90,7000.26,70.00,5189.45,51.89,18500.13,185.00,9959.53,99.60,8540.60,85.41,6310.41,63.10,2959.26,29.59,3351.15,33.51,12597.29,56.77,742.75,5.99,2702.84,27.03,0.96,4.10,2.93,3.37,2.55,1045.00,1043.00,1045.00,0,0,744.89,379.80,365.10,70.00,35.00,35.00,0,0,0,35.00,18.00,17.00,35.00,17.00,18.00,50.00,51.43,48.57,174.14,2.37,200.01,2.65,148.27,2.10,528.58,7.42,553.31,7.65,502.39,7.18,180.30,2.67,174.07,2.64,186.18,2.70,2.93,3.18,2.70,1473.91,19.25,1473.91,19.25,922.61,18.98,555.95,7.91,399.10,6.10,555.95,7.91,46.00,41.00,52.00,43.00,34.00,52.00,50.00,48.00,53.00,0,0,0,"Changed ""ATR Multiplier Lower"": 3 => 4.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,4.00,1.80,"Small",true,true
5097.47,50.97,4077.08,40.77,1020.39,10.20,8800.47,88.00,5354.24,53.54,3446.23,34.46,3703.01,37.03,1277.16,12.77,2425.84,24.26,5663.81,37.23,616.78,6.10,2702.84,27.03,0.76,2.11,2.38,4.19,1.42,870.00,857.00,870.00,0,0,606.43,305.93,300.50,70.00,35.00,35.00,0,0,0,47.00,26.00,21.00,23.00,9.00,14.00,67.14,74.29,60.00,72.82,1.21,116.49,1.98,29.15,0.45,187.24,3.21,205.93,3.51,164.11,2.82,161.00,2.86,141.91,2.46,173.27,3.11,1.16,1.45,0.95,1164.55,19.25,1164.55,19.25,278.70,4.21,318.99,6.07,217.85,3.31,318.99,6.07,17.00,15.00,19.00,17.00,14.00,21.00,16.00,17.00,15.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,3.00,1.00,"Small",true,true
7265.72,72.66,5537.41,55.37,1728.31,17.28,12528.08,125.28,7383.05,73.83,5145.03,51.45,5262.37,52.62,1845.64,18.46,3416.72,34.17,7777.21,45.04,704.54,6.50,2702.84,27.03,0.82,2.82,2.38,4.00,1.51,905.00,904.00,905.00,0,0,642.06,324.88,317.18,70.00,35.00,35.00,0,0,0,32.00,19.00,13.00,38.00,16.00,22.00,45.71,54.29,37.14,103.80,1.63,158.21,2.50,49.38,0.75,391.50,6.35,388.58,6.27,395.77,6.47,138.48,2.35,115.35,1.98,155.31,2.62,2.83,3.37,2.55,1247.84,19.25,1247.84,19.25,708.63,9.82,328.51,6.07,233.87,3.38,328.51,6.07,37.00,34.00,40.00,42.00,33.00,56.00,33.00,36.00,30.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1 => 2.3.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,3.00,2.30,"Small",true,true
4915.70,49.16,4293.22,42.93,622.48,6.22,9015.35,90.15,5611.57,56.12,3403.78,34.04,4099.66,41.00,1318.36,13.18,2781.30,27.81,5204.70,34.53,600.88,4.61,2702.84,27.03,0.62,1.75,2.20,4.26,1.22,947.00,934.00,947.00,0,0,625.89,315.70,310.19,70.00,35.00,35.00,0,0,0,37.00,26.00,11.00,33.00,9.00,24.00,52.86,74.29,31.43,70.22,1.18,122.66,2.04,17.79,0.32,243.66,4.11,215.83,3.60,309.43,5.30,124.23,2.10,146.48,2.46,115.89,1.96,1.96,1.47,2.67,1161.58,19.25,1161.58,19.25,505.80,7.62,216.25,3.62,216.25,3.31,197.71,3.62,22.00,16.00,29.00,22.00,15.00,40.00,23.00,17.00,25.00,0,0,0,"Changed ""ATR Multiplier Upper"": 4.75 => 1.75.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.75,3.00,1.80,"Small",true,true
4811.90,48.12,4073.19,40.73,738.71,7.39,9147.79,91.48,5489.78,54.90,3658.02,36.58,4335.89,43.36,1416.58,14.17,2919.31,29.19,5027.15,33.73,656.64,5.10,2702.84,27.03,0.61,1.62,2.11,3.88,1.25,917.00,904.00,917.00,0,0,614.87,309.75,305.12,70.00,35.00,35.00,0,0,0,35.00,26.00,9.00,35.00,9.00,26.00,50.00,74.29,25.71,68.74,1.17,116.38,2.00,21.11,0.34,261.37,4.45,211.15,3.60,406.45,6.91,123.88,2.11,157.40,2.63,112.28,1.93,2.11,1.34,3.62,1125.88,19.25,1125.88,19.25,656.69,10.20,279.94,4.12,279.94,4.12,197.35,3.62,25.00,17.00,34.00,25.00,16.00,50.00,26.00,19.00,28.00,0,0,0,"Changed ""ATR Multiplier Lower"": 3 => 4.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.75,4.00,1.80,"Small",true,true
7697.54,76.98,4491.53,44.92,3206.01,32.06,11549.58,115.50,6677.92,66.78,4871.66,48.72,3852.04,38.52,2186.39,21.86,1665.65,16.66,7891.58,44.12,740.73,4.22,2702.84,27.03,0.82,7.28,3.00,3.05,2.93,1019.00,1004.00,1019.00,0,0,712.46,361.64,350.82,70.00,35.00,35.00,0,0,0,46.00,18.00,28.00,24.00,17.00,7.00,65.71,51.43,80.00,109.96,1.68,128.33,1.85,91.60,1.51,251.08,3.77,371.00,5.37,173.99,2.75,160.50,2.33,128.61,1.87,237.95,3.44,1.56,2.89,0.73,1453.09,19.25,1453.09,19.25,960.98,18.98,455.01,7.91,242.83,2.80,455.01,7.91,21.00,21.00,20.00,21.00,23.00,20.00,20.00,19.00,21.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.75,2.00,1.10,"Small",true,true
10487.19,104.87,6981.47,69.81,3505.73,35.06,16115.97,161.16,9220.95,92.21,6895.02,68.95,5628.77,56.29,2239.49,22.39,3389.29,33.89,10815.39,52.79,652.42,5.22,2702.84,27.03,0.99,5.25,2.86,4.12,2.03,1122.00,1106.00,1122.00,0,0,756.21,384.85,371.35,70.00,35.00,35.00,0,0,0,38.00,21.00,17.00,32.00,14.00,18.00,54.29,60.00,48.57,149.82,2.12,199.47,2.73,100.16,1.52,424.10,6.06,439.09,6.10,405.59,6.01,175.90,2.56,159.96,2.34,188.29,2.73,2.41,2.75,2.15,1479.86,19.25,1479.86,19.25,944.53,18.98,384.27,6.33,280.05,4.16,384.27,6.33,35.00,34.00,37.00,37.00,33.00,42.00,33.00,35.00,31.00,0,0,0,"Changed ""ATR Multiplier Upper"": 4.75 => 3.5.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.50,3.00,1.80,"Small",true,true
