"Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg Losing Trade %: All","Avg Losing Trade %: Long","Avg Losing Trade %: Short","Avg Losing Trade: All","Avg Losing Trade: Long","Avg Losing Trade: Short","Avg Trade %: All","Avg Trade %: Long","Avg Trade %: Short","Avg Trade: All","Avg Trade: Long","Avg Trade: Short","Avg Winning Trade %: All","Avg Winning Trade %: Long","Avg Winning Trade %: Short","Avg Winning Trade: All","Avg Winning Trade: Long","Avg Winning Trade: Short","Buy & Hold Return","Buy & Hold Return %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Gross Loss %: All","Gross Loss %: Long","Gross Loss %: Short","Gross Loss: All","Gross Loss: Long","Gross Loss: Short","Gross Profit %: All","Gross Profit %: Long","Gross Profit %: Short","Gross Profit: All","Gross Profit: Long","Gross Profit: Short","Largest Losing Trade %: All","Largest Losing Trade %: Long","Largest Losing Trade %: Short","Largest Losing Trade: All","Largest Losing Trade: Long","Largest Losing Trade: Short","Largest Winning Trade %: All","Largest Winning Trade %: Long","Largest Winning Trade %: Short","Largest Winning Trade: All","Largest Winning Trade: Long","Largest Winning Trade: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Max Drawdown","Max Drawdown %","Max Run-up","Max Run-up %","Net Profit %: All","Net Profit %: Long","Net Profit %: Short","Net Profit: All","Net Profit: Long","Net Profit: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Open PL","Open PL %","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Sharpe Ratio","Sortino Ratio","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","__-> Dst","__1. ADX","__10. MA","__11. EMA Difference","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__6. High/Low Filter","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__:","__ATR Length","__Add ％","__Bars","__Breakeven on TP","__Candle Coloring","__Daily Trades  ","__Dashboard Size","__DrawDown ％","__End To       ","__Factor Range","__Fixed RR","__Fri","__From Cluster","__Historical Bars Calculation","__InDay Loss ％ ","__Length","__Location","__Lookback","__Loss Streak   ","__Maximum Iteration Steps","__Mon","__Monthly Performance","__Performance Memory","__Performance Summary","__Row Loss InDay","__Sat","__Select Session Days","__Session End ","__Session Start","__Show Dashboard","__Show Signals","__Size","__Srart From ","__Step","__Stop Loss","__Stop Loss Type","__Sun","__Take Profit LV 1","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Take Profit Type","__Thu","__Timezones: Src","__Tue","__Use Net Profit","__Wed","__Weekly Trades","__Win Streak   ","__ ATR Period  ","__ CoolDown # Bars","__ HH / LL   ","__ Len","__ Long Deals    ","__ MA Stop","__ Multiplier","__ Profit ＄    ","__ Profit ％    ","__ R:R    1:","__ ReEntry Deal  ","__ ReOpen Deal","__ Reverse Deals","__ SL 0 Position","__ Short Deals","__ Step","__ Stop ＄  ","__ Stop ％  ","__ Trailing ％  ","__ Wait End Deal ","__  LO / HI ","__     Order Size","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__﻿","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","comment"
503.00,787.00,77.00,1183.00,713.00,1811.00,2886.00,492.00,5279.00,3.21,3.01,3.50,32.52,30.74,35.17,1.16,-0.13,2.88,11.28,-1.76,28.67,12.08,8.53,15.62,120.78,85.20,156.36,103.06,1.03,11.24,6.79,4.45,1.63,0.92,0.70,162.58,92.23,70.34,2.42,0.85,1.56,241.56,85.20,156.36,4.83,4.83,3.83,49.07,49.07,38.45,15.62,8.53,15.62,156.36,85.20,156.36,0,0,0,0,0,0,110.13,1.09,207.24,2.03,0.79,-0.07,0.86,78.98,-7.03,86.02,5.00,3.00,2.00,2.00,1.00,1.00,33.74,0.33,28.57,25.00,33.33,1.49,0.92,2.22,3.72,2.77,4.45,0.25,0.85,7.00,4.00,3.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",8.00,333.00,4.50,3.90,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 2.7 => 3.9."
259.00,245.00,268.00,419.00,286.00,540.00,820.00,347.00,1768.00,1.91,2.01,1.84,19.17,20.13,18.53,0.44,0.99,-0.06,4.31,9.84,-0.72,6.31,5.48,7.96,63.01,54.79,79.45,102.87,1.03,32.37,15.09,17.28,2.88,1.21,1.67,287.56,120.79,166.77,3.78,2.19,1.59,378.08,219.18,158.90,3.07,3.07,2.68,30.78,30.78,26.74,8.33,6.15,8.33,82.83,61.88,82.83,0,0,0,0,0,0,124.02,1.23,198.46,1.96,0.91,0.98,-0.08,90.52,98.39,-7.87,15.00,6.00,9.00,6.00,4.00,2.00,29.32,0.29,28.57,40.00,18.18,1.32,1.82,0.95,3.29,2.72,4.29,0.21,0.37,21.00,10.00,11.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",5.00,333.00,4.50,3.90,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 8 => 5."
124.00,136.00,111.00,111.00,121.00,101.00,76.00,80.00,73.00,1.00,0.95,1.05,9.97,9.53,10.42,-0.23,-0.19,-0.27,-2.29,-1.93,-2.65,1.85,1.87,1.84,18.45,18.58,18.31,102.87,1.03,111.24,55.97,55.26,5.39,2.57,2.81,538.50,257.18,281.32,3.69,1.86,1.83,368.91,185.81,183.10,1.90,1.90,1.67,18.99,18.99,16.59,3.07,2.48,3.07,30.52,24.76,30.52,0,0,0,0,0,0,184.08,1.84,98.91,0.99,-1.70,-0.71,-0.98,-169.59,-71.37,-98.22,54.00,27.00,27.00,20.00,10.00,10.00,2.89,0.03,27.03,27.03,27.03,0.69,0.72,0.65,1.85,1.95,1.76,-0.87,-0.66,74.00,37.00,37.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,2.70,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 8 => 3."
190.00,238.00,159.00,885.00,378.00,1392.00,1579.00,471.00,3243.00,3.13,3.16,3.11,31.59,31.77,31.46,2.30,2.63,1.97,23.01,26.44,19.58,7.73,6.48,9.60,77.60,65.25,96.13,102.87,1.03,15.84,7.64,8.20,1.58,0.64,0.94,157.93,63.55,94.39,3.88,1.96,1.92,388.02,195.76,192.26,4.83,4.83,3.83,48.59,48.59,38.25,10.77,6.82,10.77,107.25,69.38,107.25,0,0,0,0,0,0,133.21,1.33,315.84,3.08,2.30,1.32,0.98,230.09,132.21,97.88,5.00,2.00,3.00,5.00,3.00,2.00,25.04,0.24,50.00,60.00,40.00,2.46,3.08,2.04,2.46,2.05,3.06,0.51,1.36,10.00,5.00,5.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",8.00,333.00,4.50,2.70,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 3 => 8."
385.00,362.00,401.00,490.00,399.00,581.00,621.00,429.00,940.00,2.62,2.49,2.71,26.52,25.20,27.39,1.14,1.86,0.41,11.37,18.68,4.05,5.84,5.35,6.66,58.72,53.79,66.94,102.87,1.03,28.04,13.74,14.30,2.65,1.01,1.64,265.15,100.81,164.34,4.70,2.69,2.01,469.74,268.93,200.81,4.24,4.24,3.69,42.91,42.91,36.90,8.07,5.95,8.07,80.42,60.56,80.42,0,0,0,0,0,0,115.14,1.15,290.87,2.84,2.05,1.68,0.36,204.59,168.12,36.47,10.00,4.00,6.00,8.00,5.00,3.00,32.40,0.32,44.44,55.56,33.33,1.77,2.67,1.22,2.21,2.13,2.44,0.51,1.45,18.00,9.00,9.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",7.00,333.00,4.50,2.70,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 8 => 7."
40.00,39.00,41.00,41.00,39.00,43.00,46.00,41.00,51.00,0.65,0.62,0.68,6.33,6.06,6.66,-0.32,-0.35,-0.28,-3.10,-3.39,-2.78,0.95,0.95,0.95,9.25,9.24,9.26,104.64,1.05,240.15,125.34,114.80,8.23,4.30,3.93,823.50,430.35,393.14,3.15,1.39,1.76,314.53,138.58,175.95,1.32,1.32,1.19,12.79,12.79,11.75,2.00,1.71,2.00,19.24,16.48,19.24,0,0,0,0,0,0,521.26,5.21,33.45,0.35,-5.09,-2.92,-2.17,-508.97,-291.77,-217.20,130.00,71.00,59.00,34.00,15.00,19.00,2.50,0.03,20.73,17.44,24.36,0.38,0.32,0.45,1.46,1.52,1.39,-4.62,-0.98,164.00,86.00,78.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",2.00,333.00,4.50,2.70,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 7 => 2."
25.00,27.00,22.00,22.00,24.00,19.00,17.00,20.00,14.00,0.60,0.59,0.62,5.85,5.73,6.02,-0.23,-0.26,-0.19,-2.24,-2.55,-1.88,0.41,0.42,0.39,3.96,4.10,3.84,107.84,1.08,353.64,189.41,164.22,8.96,5.04,3.92,895.56,504.03,391.53,3.53,1.72,1.80,352.62,172.21,180.41,1.32,1.32,1.19,12.74,12.74,11.79,1.71,1.71,0.94,16.36,16.36,9.26,0,0,0,0,0,0,544.59,5.45,59.04,0.59,-5.43,-3.32,-2.11,-542.95,-331.83,-211.12,153.00,88.00,65.00,89.00,42.00,47.00,2.19,0.02,36.78,32.31,41.96,0.39,0.34,0.46,0.68,0.72,0.64,-10.41,-0.99,242.00,130.00,112.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",2.00,333.00,4.50,1.30,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 2.7 => 1.3."
409.00,238.00,478.00,690.00,338.00,991.00,1017.00,389.00,2274.00,2.83,2.78,2.84,28.68,28.10,28.91,2.21,3.90,0.76,22.15,39.32,7.43,8.08,7.24,9.75,81.45,73.03,98.29,107.11,1.07,20.58,9.25,11.33,2.01,0.56,1.45,200.75,56.20,144.55,4.89,2.92,1.97,488.69,292.11,196.58,4.24,4.24,3.69,42.92,42.92,37.08,10.20,7.53,10.20,102.15,77.16,102.15,0,0,0,0,0,0,115.72,1.15,344.53,3.34,2.88,2.36,0.52,287.94,235.92,52.03,7.00,2.00,5.00,6.00,4.00,2.00,32.24,0.31,46.15,66.67,28.57,2.43,5.20,1.36,2.84,2.60,3.40,0.76,2.34,13.00,6.00,7.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",7.00,333.00,4.50,3.40,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed all parameters randomly."
72.00,93.00,46.00,73.00,87.00,58.00,75.00,76.00,74.00,0.95,0.92,0.97,9.43,9.20,9.72,-0.20,-0.25,-0.15,-2.02,-2.50,-1.45,0.99,0.96,1.01,9.84,9.57,10.11,107.14,1.07,155.95,83.62,72.33,6.03,3.31,2.72,603.43,331.34,272.09,3.94,1.91,2.02,393.75,191.47,202.28,1.90,1.90,1.60,19.00,19.00,16.01,2.28,1.71,2.28,22.66,16.98,22.66,0,0,0,0,0,0,233.12,2.33,77.79,0.78,-2.10,-1.40,-0.70,-209.68,-139.87,-69.81,64.00,36.00,28.00,40.00,20.00,20.00,2.33,0.02,38.46,35.71,41.67,0.65,0.58,0.74,1.04,1.04,1.04,-0.96,-0.70,104.00,56.00,48.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,1.60,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed all parameters randomly."
229.00,237.00,221.00,194.00,186.00,204.00,125.00,83.00,172.00,1.71,1.65,1.77,16.91,16.36,17.54,-0.46,-0.48,-0.43,-4.57,-4.81,-4.31,2.04,1.85,2.25,20.10,18.29,22.17,107.14,1.07,67.44,36.26,31.18,5.07,2.62,2.46,507.30,261.70,245.60,3.02,1.46,1.55,301.52,146.36,155.17,3.07,3.07,2.68,30.39,30.39,26.55,3.33,2.45,3.33,32.95,24.20,32.95,0,0,0,0,0,0,255.21,2.55,47.65,0.48,-2.06,-1.15,-0.90,-205.78,-115.34,-90.44,30.00,16.00,14.00,15.00,8.00,7.00,3.30,0.03,33.33,33.33,33.33,0.59,0.56,0.63,1.19,1.12,1.26,-2.47,-0.93,45.00,24.00,21.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",5.00,333.00,4.50,1.60,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 3 => 5."
312.00,294.00,328.00,327.00,269.00,385.00,350.00,235.00,489.00,2.09,1.92,2.25,21.04,19.34,22.54,0.25,0.55,-0.05,2.46,5.44,-0.51,3.88,3.85,3.91,38.78,38.48,39.14,107.14,1.07,42.85,21.83,21.01,3.58,1.55,2.03,357.62,154.75,202.87,4.27,2.31,1.96,426.55,230.87,195.68,3.66,3.66,3.18,36.70,36.70,31.71,7.10,7.10,5.33,70.91,70.91,52.92,0,0,0,0,0,0,117.94,1.18,198.27,1.96,0.69,0.76,-0.07,68.93,76.11,-7.19,17.00,8.00,9.00,11.00,6.00,5.00,3.39,0.03,39.29,42.86,35.71,1.19,1.49,0.97,1.84,1.99,1.74,0.02,0.04,28.00,14.00,14.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",6.00,333.00,4.50,2.10,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed all parameters randomly."
257.00,368.00,167.00,623.00,351.00,895.00,1283.00,328.00,2716.00,2.94,3.07,2.84,29.54,30.77,28.55,0.25,0.39,0.10,2.31,3.86,0.76,5.98,5.01,7.43,59.64,50.04,74.04,107.14,1.07,21.77,10.53,11.23,2.66,1.23,1.43,265.84,123.07,142.77,2.98,1.50,1.48,298.18,150.11,148.07,4.83,4.83,3.83,48.30,48.30,38.12,8.34,5.27,8.34,82.78,52.81,82.78,0,0,0,0,0,0,155.97,1.56,158.14,1.57,0.32,0.27,0.05,32.35,27.05,5.30,9.00,4.00,5.00,5.00,3.00,2.00,24.14,0.24,35.71,42.86,28.57,1.12,1.22,1.04,2.02,1.63,2.59,-0.03,-0.04,14.00,7.00,7.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",8.00,333.00,4.50,2.10,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 6 => 8."
503.00,787.00,77.00,1183.00,713.00,1811.00,2886.00,492.00,5279.00,3.21,3.01,3.50,32.50,30.73,35.16,1.07,-0.18,2.74,10.39,-2.30,27.32,11.76,8.30,15.22,117.63,82.98,152.28,107.11,1.07,11.24,6.79,4.45,1.63,0.92,0.70,162.51,92.19,70.33,2.35,0.83,1.52,235.26,82.98,152.28,4.83,4.83,3.83,49.04,49.04,38.44,15.22,8.30,15.22,152.28,82.98,152.28,0,0,0,0,0,0,110.10,1.09,200.94,1.97,0.73,-0.09,0.82,72.75,-9.21,81.95,5.00,3.00,2.00,2.00,1.00,1.00,34.14,0.34,28.57,25.00,33.33,1.45,0.90,2.17,3.62,2.70,4.33,0.22,0.71,7.00,4.00,3.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",8.00,333.00,4.50,3.80,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 2.1 => 3.8."
273.00,297.00,227.00,249.00,253.00,244.00,220.00,189.00,260.00,2.27,2.09,2.60,22.75,21.00,26.01,-0.28,-0.38,-0.12,-2.85,-3.89,-1.21,2.21,2.09,2.36,22.03,20.82,23.58,107.14,1.07,54.60,33.66,20.95,4.55,2.73,1.82,455.08,273.02,182.05,3.52,1.87,1.65,352.45,187.38,165.08,4.24,4.24,3.37,42.45,42.45,33.65,3.81,3.81,3.74,38.06,38.06,37.28,0,0,0,0,0,0,174.09,1.73,111.86,1.11,-1.03,-0.86,-0.17,-102.62,-85.65,-16.98,20.00,13.00,7.00,16.00,9.00,7.00,3.33,0.03,44.44,40.91,50.00,0.77,0.69,0.91,0.97,0.99,0.91,-1.26,-0.78,36.00,22.00,14.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",7.00,333.00,4.50,1.10,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 3.4 => 1.1."
409.00,238.00,478.00,685.00,331.00,990.00,1008.00,377.00,2270.00,2.83,2.78,2.84,28.61,28.04,28.85,1.76,3.32,0.42,17.60,33.40,4.06,7.11,6.37,8.59,71.52,64.12,86.32,105.60,1.06,20.53,9.20,11.32,2.00,0.56,1.44,200.30,56.07,144.23,4.29,2.56,1.73,429.10,256.47,172.64,4.24,4.24,3.69,42.80,42.80,37.02,8.98,6.63,8.98,89.81,67.58,89.81,0,0,0,0,0,0,115.52,1.15,285.14,2.78,2.29,2.00,0.28,228.80,200.39,28.41,7.00,2.00,5.00,6.00,4.00,2.00,32.20,0.31,46.15,66.67,28.57,2.14,4.57,1.20,2.50,2.29,2.99,0.64,1.79,13.00,6.00,7.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",7.00,333.00,4.50,3.00,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 1.1 => 3."
40.00,39.00,41.00,41.00,39.00,43.00,45.00,39.00,50.00,0.65,0.62,0.68,6.33,6.06,6.66,-0.33,-0.36,-0.29,-3.18,-3.45,-2.88,0.91,0.91,0.91,8.87,8.88,8.86,106.95,1.07,239.98,125.25,114.73,8.23,4.30,3.93,822.94,430.04,392.90,3.02,1.33,1.68,301.51,133.22,168.29,1.32,1.32,1.19,12.78,12.78,11.75,1.92,1.71,1.92,18.45,16.46,18.45,0,0,0,0,0,0,532.80,5.32,33.08,0.34,-5.21,-2.97,-2.25,-521.43,-296.82,-224.61,130.00,71.00,59.00,34.00,15.00,19.00,2.28,0.02,20.73,17.44,24.36,0.37,0.31,0.43,1.40,1.47,1.33,-4.92,-0.98,164.00,86.00,78.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",2.00,333.00,4.50,2.60,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed all parameters randomly."
27.00,32.00,21.00,27.00,31.00,21.00,25.00,30.00,21.00,0.60,0.59,0.62,5.86,5.71,6.05,-0.25,-0.29,-0.20,-2.42,-2.85,-1.93,0.68,0.68,0.67,6.58,6.60,6.56,107.14,1.07,317.17,169.00,148.18,9.20,5.08,4.11,919.63,508.39,411.24,3.95,1.78,2.16,394.74,178.25,216.49,1.32,1.32,1.19,12.75,12.75,11.77,1.71,1.71,1.45,16.36,16.36,14.22,0,0,0,0,0,0,529.87,5.30,56.79,0.58,-5.25,-3.30,-1.95,-524.89,-330.14,-194.75,157.00,89.00,68.00,60.00,27.00,33.00,2.26,0.02,27.65,23.28,32.67,0.43,0.35,0.53,1.12,1.16,1.09,-21.27,-1.00,217.00,116.00,101.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",2.00,333.00,4.50,1.90,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 2.6 => 1.9."
