"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Length","__Type ➞","__RR Ratio","__SL Type","__Show SL","__Line Style","__Dashboard Size","__Performance Summary","__Monthly Performance"
1622.74,64.91,1973.15,78.93,-350.41,-14.02,3475.52,139.02,3147.91,125.92,327.62,13.10,1852.79,74.11,1174.76,46.99,678.03,27.12,1871.67,42.83,511.21,14.77,9162.91,366.52,1.92,"N/A",1.88,2.68,0.48,114.00,111.00,114.00,0,0,153.99,113.64,40.36,31.00,23.00,8.00,0,0,0,15.00,14.00,1.00,16.00,9.00,7.00,48.39,60.87,12.50,52.35,1.79,85.79,2.87,-43.80,-1.32,231.70,7.33,224.85,7.18,327.62,9.43,115.80,3.40,130.53,3.82,96.86,2.86,2.00,1.72,3.38,434.67,14.37,434.67,14.37,327.62,9.43,180.42,5.87,180.42,5.87,165.22,5.04,79.00,75.00,90.00,100.00,80.00,382.00,59.00,68.00,48.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 2.6364.",70.00,"Body",2.64,"Close",true,"Dashed","Small",true,true
1728.31,69.13,1595.19,63.81,133.12,5.32,3312.58,132.50,2685.80,107.43,626.78,25.07,1584.27,63.37,1090.61,43.62,493.66,19.75,2029.20,44.82,371.71,11.16,9158.92,366.36,1.69,"N/A",2.09,2.46,1.27,112.00,111.00,112.00,0,0,158.23,117.37,40.86,32.00,24.00,8.00,0,0,0,18.00,15.00,3.00,14.00,9.00,5.00,56.25,62.50,37.50,54.01,1.77,66.47,2.24,16.64,0.39,184.03,5.76,179.05,5.75,208.93,5.84,113.16,3.35,121.18,3.62,98.73,2.88,1.63,1.48,2.12,303.71,10.92,303.71,10.92,267.84,7.16,169.93,5.87,169.93,5.87,167.73,5.04,54.00,46.00,80.00,58.00,41.00,145.00,50.00,55.00,40.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 2.0114.",70.00,"Body",2.01,"Close",true,"Dashed","Small",true,true
1368.07,54.72,1713.10,68.52,-345.03,-13.80,3231.10,129.24,2930.84,117.23,300.26,12.01,1863.03,74.52,1217.74,48.71,645.28,25.81,1606.72,39.14,492.21,14.90,9161.80,366.47,2.03,"N/A",1.73,2.41,0.47,114.00,111.00,114.00,0,0,151.39,112.91,38.48,32.00,24.00,8.00,0,0,0,15.00,14.00,1.00,17.00,10.00,7.00,46.88,58.33,12.50,42.75,1.53,71.38,2.49,-43.13,-1.36,215.41,7.12,209.35,6.97,300.26,9.16,109.59,3.40,121.77,3.78,92.18,2.86,1.97,1.72,3.26,404.56,13.95,404.56,13.95,300.26,9.16,172.28,5.87,172.28,5.87,157.77,5.04,73.00,67.00,90.00,91.00,70.00,382.00,57.00,64.00,48.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 2.5614.",70.00,"Body",2.56,"Close",true,"Dashed","Small",true,true
781.40,31.26,650.66,26.03,130.74,5.23,3976.94,159.08,3029.25,121.17,947.69,37.91,3195.54,127.82,2378.59,95.14,816.94,32.68,1557.39,40.72,679.58,17.77,9118.61,364.74,0.69,2.06,1.25,1.27,1.16,110.00,110.00,110.00,62.71,1.91,329.21,244.94,84.27,74.00,55.00,19.00,1.00,1.00,0,39.00,29.00,10.00,35.00,26.00,9.00,52.70,52.73,52.63,10.56,0.44,11.83,0.49,6.88,0.30,101.97,3.53,104.46,3.61,94.77,3.28,91.30,3.01,91.48,3.00,90.77,3.02,1.12,1.14,1.04,184.80,7.41,184.80,7.41,172.71,6.65,412.24,10.78,412.24,10.78,181.95,7.04,32.00,29.00,41.00,30.00,30.00,28.00,35.00,28.00,56.00,0,0,0,"Changed ""Length"": 70 => 28.",28.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
412.25,16.49,696.82,27.87,-284.58,-11.38,1514.72,60.59,1323.61,52.94,191.10,7.64,1102.47,44.10,626.79,25.07,475.68,19.03,555.48,18.19,342.63,12.16,9160.92,366.44,0.82,3.95,1.37,2.11,0.40,111.00,111.00,49.00,0,0,93.70,68.87,24.83,23.00,17.00,6.00,0,0,0,14.00,12.00,2.00,9.00,5.00,4.00,60.87,70.59,33.33,17.92,0.76,40.99,1.60,-47.43,-1.63,108.19,4.09,110.30,4.16,95.55,3.63,122.50,4.42,125.36,4.55,118.92,4.25,0.88,0.88,0.80,161.80,5.82,161.80,5.82,130.42,4.84,177.54,6.30,177.54,6.30,133.00,5.04,46.00,46.00,46.00,50.00,48.00,60.00,41.00,42.00,39.00,0,0,0,"Changed ""Length"": 70 => 133.",133.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1596.66,63.87,1558.39,62.34,38.27,1.53,2944.14,117.77,2444.98,97.80,499.16,19.97,1347.49,53.90,886.59,35.46,460.90,18.44,1598.53,39.02,366.49,11.59,9158.26,366.33,1.22,"N/A",2.19,2.76,1.08,112.00,111.00,112.00,0,0,148.83,110.82,38.01,32.00,24.00,8.00,0,0,0,19.00,16.00,3.00,13.00,8.00,5.00,59.38,66.67,37.50,49.90,1.65,64.93,2.17,4.78,0.11,154.95,5.07,152.81,5.07,166.39,5.10,103.65,3.34,110.82,3.63,92.18,2.88,1.50,1.38,1.81,254.88,9.55,254.88,9.55,210.58,6.25,159.55,5.87,159.55,5.87,159.23,5.04,47.00,37.00,76.00,53.00,38.00,135.00,37.00,35.00,40.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 1.7614.",70.00,"Body",1.76,"Close",true,"Dashed","Small",true,true
1485.41,59.42,1100.92,44.04,384.49,15.38,4212.74,168.51,3035.90,121.44,1176.84,47.07,2727.33,109.09,1934.98,77.40,792.35,31.69,1913.11,43.96,811.27,18.64,8648.93,345.96,1.04,8.55,1.55,1.57,1.49,111.00,111.00,104.00,75.89,1.90,303.09,210.70,92.39,59.00,42.00,17.00,1.00,1.00,0,34.00,24.00,10.00,25.00,18.00,7.00,57.63,57.14,58.82,25.18,0.87,26.21,0.90,22.62,0.79,123.90,3.76,126.50,3.91,117.68,3.39,109.09,3.07,107.50,3.12,113.19,2.92,1.14,1.18,1.04,219.09,7.41,219.09,7.41,206.94,6.65,469.01,10.78,469.01,10.78,217.26,5.45,31.00,32.00,27.00,30.00,32.00,23.00,33.00,33.00,32.00,0,0,0,"Changed ""Length"": 70 => 42.",42.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1228.76,49.15,965.78,38.63,262.97,10.52,2175.06,87.00,1654.04,66.16,521.03,20.84,946.31,37.85,688.26,27.53,258.05,10.32,1267.36,33.99,299.01,10.90,9159.03,366.36,1.06,"N/A",2.30,2.40,2.02,111.00,111.00,110.00,0,0,148.01,108.29,39.72,34.00,25.00,9.00,0,0,0,25.00,18.00,7.00,9.00,7.00,2.00,73.53,72.00,77.78,36.14,1.23,38.63,1.34,29.22,0.95,87.00,3.01,91.89,3.22,74.43,2.47,105.15,3.70,98.32,3.50,129.03,4.38,0.83,0.94,0.58,154.35,6.11,154.35,6.11,125.99,3.98,155.70,5.87,155.70,5.87,142.67,5.04,23.00,23.00,24.00,20.00,20.00,22.00,31.00,31.00,30.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 1.1364.",70.00,"Body",1.14,"Close",true,"Dashed","Small",true,true
816.98,32.68,1035.11,41.40,-218.13,-8.73,1958.26,78.33,1672.85,66.91,285.41,11.42,1141.29,45.65,637.74,25.51,503.54,20.14,951.07,28.21,411.44,12.66,9159.70,366.39,0.69,7.97,1.72,2.62,0.57,111.00,111.00,48.00,0,0,114.04,83.82,30.22,27.00,20.00,7.00,0,0,0,18.00,15.00,3.00,9.00,5.00,4.00,66.67,75.00,42.86,30.26,1.14,51.76,1.87,-31.16,-0.95,108.79,3.94,111.52,4.04,95.14,3.44,126.81,4.47,127.55,4.64,125.89,4.25,0.86,0.87,0.76,178.66,6.19,178.66,6.19,142.13,4.84,171.55,6.30,171.55,6.30,138.78,5.04,45.00,46.00,41.00,46.00,46.00,44.00,42.00,44.00,39.00,0,0,0,"Changed ""Length"": 70 => 105.",105.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
930.50,37.22,1154.96,46.20,-224.46,-8.98,2087.10,83.48,1796.83,71.87,290.27,11.61,1156.61,46.26,641.87,25.67,514.73,20.59,1020.76,29.66,381.48,12.04,9159.70,366.39,0.71,9.02,1.81,2.80,0.56,111.00,111.00,48.00,0,0,115.63,84.83,30.79,27.00,20.00,7.00,0,0,0,18.00,15.00,3.00,9.00,5.00,4.00,66.67,75.00,42.86,34.46,1.27,57.75,2.05,-32.07,-0.95,115.95,4.14,119.79,4.27,96.76,3.44,128.51,4.47,128.37,4.64,128.68,4.25,0.90,0.93,0.75,182.35,6.19,182.35,6.19,146.99,4.84,171.55,6.30,171.55,6.30,143.54,5.04,46.00,48.00,41.00,48.00,49.00,44.00,42.00,44.00,39.00,0,0,0,"Changed ""Length"": 70 => 112.",112.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
