"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Take Profit % (How much stock has to rise from entry to trigger take profit) Using tighter % will have higher win rates (try 5% as an example). Using looser will produce bigger winners w/ lower win rates.","__Take Profit % QTY (How much profit you want to take after take profit target is triggered)","__Change this if you want to see Copp Curve calculated for current ticker. All Copp Curve calculations are base on NYSE Composite","__Standard Copp settings are (10, 14, 11) however, DOUBLE these lengths as alternate settings to (20,28,22) and you will find it may produce better results, but less trades","__WMA Length (Experiment changing this to longer lengths for less trades, but higher win %)","__Long RoC Length","__Short RoC Length","__Start Date","__Start Month","__Start Year","__ATR Period","__Source Upper","__Source Lower","__ATR Multiplier Upper","__ATR Multiplier Lower","__Risk-to-Reward Ratio","__Dashboard Size","__Performance Summary","__Monthly Performance"
1161.84,46.47,1161.84,46.47,0,0,10842.42,433.70,10842.42,433.70,0,0,9680.58,387.22,9680.58,387.22,0,0,2933.84,56.10,1885.87,36.20,3336.06,133.44,0.33,1.08,1.12,1.12,"N/A",57.00,57.00,0,0,0,664.80,664.80,0,142.00,142.00,0,0,0,0,64.00,64.00,0,78.00,78.00,0,45.07,45.07,"N/A",8.18,0.40,8.18,0.40,"N/A",169.41,5.49,169.41,5.49,"N/A",124.11,3.78,124.11,3.78,"N/A",1.37,1.37,"N/A",534.12,17.66,534.12,17.66,"N/A",597.28,13.24,597.28,13.24,"N/A",49.00,49.00,0,53.00,53.00,0,45.00,45.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1.5 => 1.8.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,1.80,"Small",true,true
1924.72,76.99,1924.72,76.99,0,0,11448.02,457.92,11448.02,457.92,0,0,9523.31,380.93,9523.31,380.93,0,0,3470.51,60.77,1820.76,36.56,3332.15,133.29,0.39,1.50,1.20,1.20,"N/A",57.00,57.00,0,0,0,554.61,554.61,0,109.00,109.00,0,0,0,0,38.00,38.00,0,71.00,71.00,0,34.86,34.86,"N/A",17.66,0.75,17.66,0.75,"N/A",301.26,9.21,301.26,9.21,"N/A",134.13,3.77,134.13,3.77,"N/A",2.25,2.25,"N/A",844.95,26.57,844.95,26.57,"N/A",652.15,13.24,652.15,13.24,"N/A",73.00,73.00,0,108.00,108.00,0,55.00,55.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1.5 => 2.7.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,2.70,"Small",true,true
1155.11,46.20,1155.11,46.20,0,0,11223.59,448.94,11223.59,448.94,0,0,10068.48,402.74,10068.48,402.74,0,0,2384.94,50.51,1566.84,40.61,3334.10,133.36,0.35,0.93,1.12,1.12,"N/A",63.00,63.00,0,0,0,871.25,871.25,0,183.00,183.00,0,0,0,0,101.00,101.00,0,82.00,82.00,0,55.19,55.19,"N/A",6.31,0.29,6.31,0.29,"N/A",111.12,3.52,111.12,3.52,"N/A",122.79,3.69,122.79,3.69,"N/A",0.91,0.91,"N/A",364.55,11.73,364.55,11.73,"N/A",557.06,13.24,557.06,13.24,"N/A",33.00,33.00,0,34.00,34.00,0,31.00,31.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2.7 => 1.2.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,1.20,"Small",true,true
2062.25,82.49,2062.25,82.49,0,0,12116.03,484.64,12116.03,484.64,0,0,10053.78,402.15,10053.78,402.15,0,0,4241.67,65.68,2107.57,34.63,3330.68,133.23,0.39,1.66,1.21,1.21,"N/A",56.00,56.00,0,0,0,547.42,547.42,0,104.00,104.00,0,0,0,0,39.00,39.00,0,65.00,65.00,0,37.50,37.50,"N/A",19.83,0.83,19.83,0.83,"N/A",310.67,9.17,310.67,9.17,"N/A",154.67,4.18,154.67,4.18,"N/A",2.01,2.01,"N/A",917.78,26.57,917.78,26.57,"N/A",803.30,14.54,803.30,14.54,"N/A",78.00,78.00,0,109.00,109.00,0,59.00,59.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.5 => 2.75.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.75,2.70,"Small",true,true
-195.01,-7.80,-195.01,-7.80,0,0,8034.60,321.38,8034.60,321.38,0,0,8229.61,329.18,8229.61,329.18,0,0,1252.85,35.10,1463.59,41.47,3331.66,133.27,0.03,0.04,0.98,0.98,"N/A",58.00,58.00,0,-11.16,-0.48,756.28,756.28,0,190.00,190.00,0,1.00,1.00,0,36.00,36.00,0,154.00,154.00,0,18.95,18.95,"N/A",-1.03,-0.06,-1.03,-0.06,"N/A",223.18,8.67,223.18,8.67,"N/A",53.44,1.95,53.44,1.95,"N/A",4.18,4.18,"N/A",526.13,19.42,526.13,19.42,"N/A",199.86,6.99,199.86,6.99,"N/A",37.00,37.00,0,79.00,79.00,0,27.00,27.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.75 => 1.25.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,1.25,2.70,"Small",true,true
1009.19,40.37,1009.19,40.37,0,0,11678.30,467.13,11678.30,467.13,0,0,10669.11,426.76,10669.11,426.76,0,0,3135.09,57.45,2058.37,39.71,3324.81,132.99,0.33,0.87,1.10,1.10,"N/A",64.00,64.00,0,0,0,733.98,733.98,0,147.00,147.00,0,0,0,0,74.00,74.00,0,73.00,73.00,0,50.34,50.34,"N/A",6.87,0.35,6.87,0.35,"N/A",157.81,4.78,157.81,4.78,"N/A",146.15,4.13,146.15,4.13,"N/A",1.08,1.08,"N/A",536.36,15.69,536.36,15.69,"N/A",678.83,14.54,678.83,14.54,"N/A",46.00,46.00,0,45.00,45.00,0,48.00,48.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2.7 => 1.6.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.75,1.60,"Small",true,true
3566.39,142.66,3566.39,142.66,0,0,14963.70,598.55,14963.70,598.55,0,0,11397.31,455.89,11397.31,455.89,0,0,5950.74,72.86,2435.62,33.66,3303.28,132.13,0.45,2.75,1.31,1.31,"N/A",58.00,58.00,0,109.86,1.81,611.21,611.21,0,97.00,97.00,0,1.00,1.00,0,37.00,37.00,0,60.00,60.00,0,38.14,38.14,"N/A",36.77,1.21,36.77,1.21,"N/A",404.42,10.09,404.42,10.09,"N/A",189.96,4.27,189.96,4.27,"N/A",2.13,2.13,"N/A",1198.85,29.04,1198.85,29.04,"N/A",1015.88,14.54,1015.88,14.54,"N/A",84.00,84.00,0,120.00,120.00,0,62.00,62.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2.7 => 2.95.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.75,2.95,"Small",true,true
1782.39,71.30,1782.39,71.30,0,0,11494.97,459.80,11494.97,459.80,0,0,9712.58,388.50,9712.58,388.50,0,0,3644.61,62.18,1765.58,36.24,3313.07,132.52,0.37,1.53,1.18,1.18,"N/A",56.00,56.00,0,0,0,533.03,533.03,0,106.00,106.00,0,0,0,0,40.00,40.00,0,66.00,66.00,0,37.74,37.74,"N/A",16.82,0.75,16.82,0.75,"N/A",287.37,8.87,287.37,8.87,"N/A",147.16,4.17,147.16,4.17,"N/A",1.95,1.95,"N/A",820.38,25.58,820.38,25.58,"N/A",729.02,14.54,729.02,14.54,"N/A",76.00,76.00,0,105.00,105.00,0,59.00,59.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2.95 => 2.6.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.75,2.60,"Small",true,true
2534.33,101.37,2534.33,101.37,0,0,13219.39,528.78,13219.39,528.78,0,0,10685.06,427.40,10685.06,427.40,0,0,5007.30,69.54,2460.05,38.51,3317.47,132.70,0.41,1.96,1.24,1.24,"N/A",57.00,57.00,0,103.70,2.06,528.46,528.46,0,94.00,94.00,0,1.00,1.00,0,37.00,37.00,0,57.00,57.00,0,39.36,39.36,"N/A",26.96,1.05,26.96,1.05,"N/A",357.28,9.90,357.28,9.90,"N/A",187.46,4.69,187.46,4.69,"N/A",1.91,1.91,"N/A",1064.63,29.04,1064.63,29.04,"N/A",966.78,15.85,966.78,15.85,"N/A",87.00,87.00,0,118.00,118.00,0,67.00,67.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.75 => 3.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,3.00,2.95,"Small",true,true
301.48,12.06,301.48,12.06,0,0,9176.17,367.05,9176.17,367.05,0,0,8874.70,354.99,8874.70,354.99,0,0,2009.26,46.44,1723.36,40.68,3317.96,132.72,0.21,0.37,1.03,1.03,"N/A",59.00,59.00,0,0,0,802.10,802.10,0,178.00,178.00,0,0,0,0,33.00,33.00,0,145.00,145.00,0,18.54,18.54,"N/A",1.69,0.18,1.69,0.18,"N/A",278.07,9.62,278.07,9.62,"N/A",61.20,1.97,61.20,1.97,"N/A",4.54,4.54,"N/A",617.34,21.23,617.34,21.23,"N/A",244.59,6.99,244.59,6.99,"N/A",40.00,40.00,0,90.00,90.00,0,29.00,29.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.75 => 1.25.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,1.25,2.95,"Small",true,true
